"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Global","",160686749,2058.42114127976,5159846,66.0983942873087,732671,3335948,42.7339897791444,88060,1.12806169039549,13420,""
"United States of America","Americas",32496486,9817.59,285669,86.3,35437,578257,174.7,4535,1.37,747,"Community transmission"
"India","South-East Asia",24046809,1742.52,2555211,185.16,343144,262317,19.01,28234,2.05,4000,"Clusters of cases"
"Brazil","Americas",15359397,7225.93,429214,201.93,76692,428034,201.37,13635,6.41,2494,"Community transmission"
"France","Europe",5728027,8807.02,111847,171.97,21269,106333,163.49,1419,2.18,182,"Community transmission"
"Turkey","Europe",5072462,6014.37,116868,138.57,13029,43821,51.96,1938,2.3,232,"Community transmission"
"Russian Federation","Europe",4905059,3361.14,49931,34.21,8217,114331,78.34,2085,1.43,355,"Clusters of cases"
"The United Kingdom","Europe",4441979,6543.29,16035,23.62,2284,127640,188.02,70,0.1,11,"Community transmission"
"Italy","Europe",4131078,6926.52,60678,101.74,7848,123544,207.14,1539,2.58,262,"Clusters of cases"
"Spain","Europe",3592751,7590.43,36011,76.08,3210,79208,167.34,261,0.55,9,"Community transmission"
"Germany","Europe",3565704,4287.42,92201,110.86,17419,85658,103,1532,1.84,278,"Community transmission"
"Argentina","Americas",3215572,7114.76,144076,318.78,24475,68807,152.24,2942,6.51,496,"Community transmission"
"Colombia","Americas",3048719,5991.64,114108,224.26,16993,79261,155.77,3246,6.38,490,"Community transmission"
"Poland","Europe",2845762,7497.11,27384,72.14,3423,71021,187.1,2028,5.34,342,"Community transmission"
"Iran (Islamic Republic of)","Eastern Mediterranean",2722007,3240.76,111989,133.33,14246,76231,90.76,2325,2.77,297,"Community transmission"
"Mexico","Americas",2371483,1839.32,15498,12.02,3090,219590,170.31,1583,1.23,267,"Community transmission"
"Ukraine","Europe",2135886,4883.84,38862,88.86,6813,47333,108.23,1882,4.3,346,"Community transmission"
"Peru","Americas",1865639,5658.28,41182,124.9,7400,64898,196.83,1922,5.83,207,"Community transmission"
"Indonesia","South-East Asia",1731652,633.09,34347,12.56,3448,47716,17.44,1220,0.45,99,"Community transmission"
"Czechia","Europe",1649947,15428.81,8827,82.54,1280,29825,278.9,304,2.84,38,"Community transmission"
"South Africa","Africa",1602031,2701.17,13810,23.28,2759,54968,92.68,411,0.69,72,"Community transmission"
"Netherlands","Europe",1577754,9063.6,46231,265.58,6422,17399,99.95,156,0.9,16,"Community transmission"
"Canada","Americas",1305770,3459.71,48442,128.35,6198,24766,65.62,316,0.84,52,"Community transmission"
"Chile","Americas",1266601,6625.8,37353,195.4,6153,27520,143.96,625,3.27,136,"Community transmission"
"Iraq","Eastern Mediterranean",1132092,2814.57,33905,84.29,4512,15883,39.49,210,0.52,28,"Community transmission"
"Philippines","Western Pacific",1124724,1026.39,44572,40.67,6385,18821,17.18,830,0.76,107,"Community transmission"
"Romania","Europe",1068817,5529.65,7922,40.99,930,29233,151.24,617,3.19,98,"Community transmission"
"Sweden","Europe",1027934,9953.28,32400,313.72,6333,14267,138.14,34,0.33,1,"Community transmission"
"Belgium","Europe",1023583,8883.39,14126,122.6,1,24630,213.76,186,1.61,4,"Community transmission"
"Pakistan","Eastern Mediterranean",870703,394.18,24870,11.26,3265,19336,8.75,799,0.36,126,"Community transmission"
"Portugal","Europe",840493,8163.37,2391,23.22,485,16998,165.09,15,0.15,4,"Clusters of cases"
"Israel","Europe",839042,9693.7,320,3.7,20,6379,73.7,8,0.09,1,"Community transmission"
"Hungary","Europe",795200,8139.6,7553,77.31,1416,28970,296.53,673,6.89,82,"Community transmission"
"Bangladesh","South-East Asia",778687,472.82,9527,5.78,1290,12076,7.33,280,0.17,31,"Community transmission"
"Jordan","Eastern Mediterranean",722754,7083.65,4824,47.28,418,9203,90.2,189,1.85,23,"Community transmission"
"Serbia","Europe",703497,10156.3,7622,110.04,1046,6611,95.44,133,1.92,17,"Community transmission"
"Switzerland","Europe",674138,7789.34,7481,86.44,3,10080,116.47,21,0.24,0,"Community transmission"
"Japan","Western Pacific",665547,526.22,44553,35.23,6918,11255,8.9,666,0.53,90,"Clusters of cases"
"Austria","Europe",629893,7076.6,7680,86.28,1179,10170,114.26,105,1.18,14,"Community transmission"
"United Arab Emirates","Eastern Mediterranean",542158,5481.66,11214,113.38,1512,1623,16.41,19,0.19,4,"Clusters of cases"
