"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Japan","Western Pacific",671841,531.2,45319,35.83,6294,11365,8.99,663,0.52,110,"Clusters of cases"
"Austria","Europe",631714,7097.06,6898,77.5,721,10195,114.54,99,1.11,14,"Community transmission"
"United Arab Emirates","Eastern Mediterranean",543610,5496.34,10900,110.21,1452,1626,16.44,19,0.19,3,"Clusters of cases"
"Lebanon","Eastern Mediterranean",534968,7837.85,3134,45.92,0,7569,110.89,133,1.95,0,"Community transmission"
"Morocco","Eastern Mediterranean",514705,1394.47,1391,3.77,35,9092,24.63,35,0.09,1,"Community transmission"
"Malaysia","Western Pacific",462190,1428.01,29765,91.96,4113,1822,5.63,190,0.59,34,"Community transmission"
"Nepal","South-East Asia",439658,1508.94,62055,212.98,8467,4669,16.02,1090,3.74,203,"Clusters of cases"
"Saudi Arabia","Eastern Mediterranean",431432,1239.25,6987,20.07,927,7134,20.49,89,0.26,12,"Community transmission"
"Bulgaria","Europe",413838,5953.23,4343,62.48,518,17243,248.05,357,5.14,49,"Clusters of cases"
"Kazakhstan","Europe",409659,2181.74,13529,72.05,0,4760,25.35,218,1.16,0,"Clusters of cases"
"Ecuador","Americas",407002,2306.87,10114,57.33,1219,19514,110.6,453,2.57,72,"Community transmission"
"Slovakia","Europe",387420,7098.37,2025,37.1,258,12203,223.59,213,3.9,35,"Clusters of cases"
"Greece","Europe",373881,3488.16,15765,147.08,2169,11322,105.63,412,3.84,56,"Community transmission"
"Belarus","Europe",373351,3951.09,7046,74.57,1109,2681,28.37,69,0.73,10,"Community transmission"
"Panama","Americas",369455,8562.57,3091,71.64,525,6288,145.73,33,0.76,3,"Community transmission"
"Croatia","Europe",349910,8622.37,6081,149.85,826,7687,189.42,263,6.48,23,"Community transmission"
"occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",332385,6515.55,2598,50.93,274,3683,72.2,77,1.51,14,"Community transmission"
"Georgia","Europe",329407,8257.52,8577,215.01,1576,4426,110.95,163,4.09,29,"Community transmission"
"Azerbaijan","Europe",328994,3244.78,3587,35.38,326,4754,46.89,104,1.03,12,"Clusters of cases"
"Bolivia (Plurinational State of)","Americas",327224,2803.25,13034,111.66,2356,13409,114.87,258,2.21,64,"Community transmission"
"Tunisia","Eastern Mediterranean",325280,2752.27,7044,59.6,457,11727,99.22,450,3.81,34,"Community transmission"
"Paraguay","Americas",307457,4310.63,15917,223.16,2568,7427,104.13,544,7.63,69,"Community transmission"
"Kuwait","Eastern Mediterranean",290006,6790.8,7025,164.5,763,1681,39.36,53,1.24,7,"Community transmission"
"Costa Rica","Americas",279926,5495.08,16832,330.42,3039,3514,68.98,173,3.4,32,"Community transmission"
"Dominican Republic","Americas",275378,2538.54,5420,49.96,1059,3565,32.86,48,0.44,5,"Community transmission"
"Ethiopia","Africa",265413,230.87,3833,3.33,453,3964,3.45,124,0.11,13,"Community transmission"
"Lithuania","Europe",264724,9474.43,7818,279.8,1249,4088,146.31,64,2.29,4,"Community transmission"
"Denmark","Europe",264465,4541.92,6960,119.53,951,2499,42.92,4,0.07,0,"Community transmission"
"Ireland","Europe",254870,5133.91,2966,59.74,420,4941,99.53,20,0.4,4,"Community transmission"
"Republic of Moldova","Europe",253567,6285.8,1154,28.61,181,6006,148.89,77,1.91,11,"Community transmission"
"Slovenia","Europe",248520,11857.66,3356,160.13,471,4638,221.29,17,0.81,3,"Clusters of cases"
"Egypt","Eastern Mediterranean",243317,237.77,8177,7.99,1197,14206,13.88,427,0.42,56,"Clusters of cases"
"Guatemala","Americas",240170,1340.57,6474,36.14,1383,7845,43.79,150,0.84,13,"Community transmission"
"Uruguay","Americas",231901,6675.85,18452,531.19,3799,3318,95.52,346,9.96,66,"Community transmission"
"Honduras","Americas",223922,2260.79,6327,63.88,930,5898,59.55,396,4,45,"Community transmission"
"Armenia","Europe",220729,7448.92,1637,55.24,282,4314,145.58,89,3,13,"Community transmission"
"Qatar","Eastern Mediterranean",212667,7381.57,2597,90.14,244,524,18.19,28,0.97,2,"Community transmission"
"Venezuela (Bolivarian Republic of)","Americas",211838,744.97,7781,27.36,890,2352,8.27,108,0.38,15,"Community transmission"
"Oman","Eastern Mediterranean",202713,3969.61,3369,65.97,0,2148,42.06,65,1.27,0,"Community transmission"
"Bosnia and Herzegovina","Europe",202143,6161.37,1450,44.2,140,8981,273.74,191,5.82,23,"Community transmission"
"Bahrain","Eastern Mediterranean",197474,11605.37,11071,650.63,1369,732,43.02,58,3.41,17,"Community transmission"
"Libya","Eastern Mediterranean",181179,2636.75,1482,21.57,0,3085,44.9,22,0.32,0,"Community transmission"
"Nigeria","Africa",165661,80.36,309,0.15,49,2066,1,1,0,0,"Community transmission"
"Kenya","Africa",165112,307.06,2446,4.55,392,2976,5.53,111,0.21,8,"Community transmission"
"North Macedonia","Europe",154524,7416.99,830,39.84,30,5184,248.83,117,5.62,16,"Clusters of cases"
"Myanmar","South-East Asia",143035,262.88,101,0.19,31,3212,5.9,2,0,0,"Clusters of cases"
"Sri Lanka","South-East Asia",138085,644.86,16747,78.21,2289,923,4.31,178,0.83,31,"Clusters of cases"
"Puerto Rico","Americas",136199,4760.78,1831,64,328,2421,84.63,66,2.31,9,"Community transmission"
"Albania","Europe",131939,4584.72,362,12.58,49,2427,84.34,19,0.66,1,"Clusters of cases"
"Republic of Korea","Western Pacific",131061,255.63,4316,8.42,681,1896,3.7,31,0.06,3,"Clusters of cases"
"Latvia","Europe",127053,6660.1,4508,236.31,666,2248,117.84,51,2.67,8,"Community transmission"
"Estonia","Europe",126922,9550.36,2021,152.07,280,1220,91.8,25,1.88,3,"Clusters of cases"
"Algeria","Africa",125059,285.19,1367,3.12,170,3360,7.66,45,0.1,5,"Community transmission"
"Cuba","Americas",121838,1075.68,7962,70.29,1277,785,6.93,72,0.64,7,"Community transmission"
"Norway","Europe",118275,2203.51,2865,53.38,320,774,14.42,7,0.13,0,"Clusters of cases"
"Kosovo[1]","Europe",106760,5945.43,611,34.03,49,2210,123.07,18,1,2,"Community transmission"
"China","Western Pacific",103986,7.07,212,0.01,49,4858,0.33,0,0,0,"Clusters of cases"
"Kyrgyzstan","Europe",100249,1536.57,2170,33.26,404,1695,25.98,46,0.71,8,"Clusters of cases"
"Thailand","South-East Asia",99145,142.04,17871,25.6,3095,565,0.81,183,0.26,17,"Clusters of cases"
"Montenegro","Europe",98443,15674.09,146,23.25,0,1545,245.99,8,1.27,0,"Clusters of cases"
"Uzbekistan","Europe",96368,287.93,2390,7.14,251,667,1.99,5,0.01,0,"Clusters of cases"
"Ghana","Africa",93243,300.08,387,1.25,84,783,2.52,0,0,0,"Community transmission"
"Zambia","Africa",92356,502.37,352,1.91,94,1260,6.85,4,0.02,0,"Community transmission"
"Finland","Europe",89686,1623.19,1354,24.51,0,931,16.85,9,0.16,0,"Community transmission"
"Cameroon","Africa",74733,281.52,0,0,0,1144,4.31,0,0,0,"Community transmission"
"El Salvador","Americas",70915,1093.32,660,10.18,0,2178,33.58,32,0.49,5,"Community transmission"
"Cyprus","Europe",70742,7966.4,1976,222.52,171,346,38.96,14,1.58,4,"Clusters of cases"
"Mozambique","Africa",70361,225.12,223,0.71,46,826,2.64,6,0.02,0,"Community transmission"
"Luxembourg","Europe",68922,11008.01,769,122.82,0,806,128.73,5,0.8,0,"Community transmission"
"Afghanistan","Eastern Mediterranean",63412,162.89,1657,4.26,57,2733,7.02,50,0.13,3,"Community transmission"
"Singapore","Western Pacific",61505,1051.31,194,3.32,52,31,0.53,0,0,0,"Sporadic cases"
"Botswana","Africa",52162,2218.12,3745,159.25,624,761,32.36,27,1.15,10,"Community transmission"
"Namibia","Africa",50733,1996.65,1181,46.48,0,704,27.71,22,0.87,0,"Community transmission"
"Mongolia","Western Pacific",47548,1450.39,4347,132.6,515,200,6.1,47,1.43,7,"Clusters of cases"
"Jamaica","Americas",47150,1592.28,722,24.38,130,838,28.3,37,1.25,4,"Community transmission"
"Côte d’Ivoire","Africa",46535,176.41,191,0.72,15,295,1.12,4,0.02,1,"Community transmission"
"Maldives","South-East Asia",42775,7913.32,8641,1598.57,1467,93,17.2,11,2.03,6,"Clusters of cases"
"Uganda","Africa",42674,93.29,450,0.98,96,347,0.76,1,0,1,"Community transmission"
"Senegal","Africa",40806,243.71,185,1.1,16,1122,6.7,6,0.04,0,"Community transmission"
"Madagascar","Africa",39888,144.05,1247,4.5,129,748,2.7,47,0.17,3,"Community transmission"
"Zimbabwe","Africa",38535,259.27,132,0.89,44,1582,10.64,6,0.04,0,"Community transmission"
"Sudan","Eastern Mediterranean",34889,79.57,87,0.2,0,2446,5.58,7,0.02,0,"Clusters of cases"
"Malawi","Africa",34206,178.81,48,0.25,6,1153,6.03,1,0.01,0,"Community transmission"
"Democratic Republic of the Congo","Africa",30511,34.07,271,0.3,33,775,0.87,3,0,0,"Community transmission"
"Malta","Europe",30474,5922.3,42,8.16,1,417,81.04,0,0,0,"Clusters of cases"
"Angola","Africa",30030,91.37,1829,5.56,335,651,1.98,23,0.07,2,"Community transmission"
"Australia","Western Pacific",29957,117.48,60,0.24,2,910,3.57,0,0,0,"Clusters of cases"
"Cabo Verde","Africa",27672,4977.09,1835,330.04,286,244,43.89,13,2.34,1,"Community transmission"
"Rwanda","Africa",25934,200.23,395,3.05,0,342,2.64,4,0.03,0,"Community transmission"
"Gabon","Africa",23799,1069.27,367,16.49,65,143,6.42,0,0,0,"Community transmission"
"Syrian Arab Republic","Eastern Mediterranean",23645,135.11,389,2.22,50,1688,9.65,49,0.28,6,"Community transmission"
"Guinea","Africa",22734,173.11,181,1.38,27,151,1.15,2,0.02,0,"Community transmission"
"Réunion","Africa",22644,2529.17,1193,133.25,0,169,18.88,19,2.12,0,"Community transmission"
"Cambodia","Western Pacific",21499,128.59,2782,16.64,0,147,0.88,33,0.2,0,"Sporadic cases"
"French Guiana","Americas",21465,7186.57,1099,367.95,32,108,36.16,4,1.34,0,"Community transmission"
"Mayotte","Africa",20176,7395.49,42,15.4,0,171,62.68,1,0.37,0,"Community transmission"
"French Polynesia","Western Pacific",18815,6697.92,25,8.9,18,141,50.19,0,0,0,"Sporadic cases"
"Mauritania","Africa",18781,403.92,168,3.61,14,457,9.83,1,0.02,0,"Community transmission"
"Eswatini","Africa",18511,1595.55,37,3.19,14,671,57.84,0,0,0,"Community transmission"
"Guadeloupe","Americas",15429,3856.05,0,0,0,236,58.98,0,0,0,"Community transmission"
"Guyana","Americas",14845,1887.35,888,112.9,186,333,42.34,23,2.92,2,"Community transmission"
"Trinidad and Tobago","Americas",14814,1058.53,2418,172.78,397,256,18.29,65,4.64,21,"Community transmission"
"Somalia","Eastern Mediterranean",14486,91.15,118,0.74,0,753,4.74,8,0.05,0,"Community transmission"
"Mali","Africa",14163,69.94,104,0.51,14,510,2.52,13,0.06,2,"Community transmission"
"Tajikistan","Europe",13714,143.79,0,0,0,91,0.95,0,0,0,"Pending"
"Papua New Guinea","Western Pacific",13707,153.2,1621,18.12,0,136,1.52,15,0.17,0,"Community transmission"
"Andorra","Europe",13510,17485.28,120,155.31,40,127,164.37,0,0,0,"Community transmission"
"Burkina Faso","Africa",13394,64.08,41,0.2,3,164,0.78,2,0.01,0,"Community transmission"
"Haiti","Americas",13353,117.11,189,1.66,85,271,2.38,8,0.07,2,"Community transmission"
"Togo","Africa",13244,159.98,138,1.67,6,125,1.51,1,0.01,0,"Community transmission"
"Belize","Americas",12709,3196.2,27,6.79,2,323,81.23,0,0,0,"Community transmission"
"Curaçao","Americas",12244,7461.62,22,13.41,8,118,71.91,5,3.05,1,"Community transmission"
"Suriname","Americas",11572,1972.62,756,128.87,145,221,37.67,8,1.36,1,"Clusters of cases"
"Martinique","Americas",11490,3061.84,0,0,0,87,23.18,0,0,0,"Community transmission"
"Djibouti","Eastern Mediterranean",11402,1154.05,83,8.4,15,151,15.28,3,0.3,0,"Community transmission"
"Congo","Africa",11343,205.56,196,3.55,0,148,2.68,0,0,0,"Community transmission"
"Bahamas","Americas",11024,2803.35,251,63.83,0,216,54.93,4,1.02,0,"Clusters of cases"
"Aruba","Americas",10826,10139.93,89,83.36,31,104,97.41,4,3.75,0,"Community transmission"
"Lesotho","Africa",10782,503.3,21,0.98,4,320,14.94,1,0.05,0,"Community transmission"
"South Sudan","Africa",10641,95.06,4,0.04,0,115,1.03,-1,-0.01,0,"Community transmission"
"Seychelles","Africa",9184,9338.36,2373,2412.88,0,30,30.5,2,2.03,0,"Community transmission"
"Benin","Africa",7984,65.86,100,0.82,0,101,0.83,1,0.01,0,"Community transmission"
"Guam","Western Pacific",7844,4647.61,42,24.89,9,139,82.36,0,0,0,"Clusters of cases"
"Equatorial Guinea","Africa",7694,548.4,0,0,0,112,7.98,0,0,0,"Community transmission"
"Central African Republic","Africa",6866,142.16,192,3.98,0,95,1.97,2,0.04,0,"Community transmission"
"Iceland","Europe",6537,1795.22,31,8.51,11,29,7.96,0,0,0,"Community transmission"
"Yemen","Eastern Mediterranean",6527,21.88,77,0.26,16,1286,4.31,16,0.05,7,"Community transmission"
"Gambia","Africa",5940,245.79,15,0.62,0,175,7.24,0,0,0,"Community transmission"
"Nicaragua","Americas",5649,85.27,74,1.12,0,184,2.78,1,0.02,0,"Community transmission"
"Niger","Africa",5326,22,16,0.07,0,192,0.79,0,0,0,"Community transmission"
"San Marino","Europe",5087,14989.1,8,23.57,0,90,265.19,0,0,0,"Community transmission"
"Chad","Africa",4891,29.78,29,0.18,0,172,1.05,2,0.01,0,"Community transmission"
"Saint Lucia","Americas",4725,2573.15,118,64.26,0,75,40.84,0,0,0,"Community transmission"
"Burundi","Africa",4290,36.08,141,1.19,8,6,0.05,0,0,0,"Community transmission"
"Gibraltar","Europe",4286,12721.5,0,0,0,94,279.01,0,0,0,"Clusters of cases"
"Timor-Leste","South-East Asia",4118,312.34,1153,87.45,239,8,0.61,4,0.3,0,"Clusters of cases"
"Sierra Leone","Africa",4096,51.35,28,0.35,0,79,0.99,0,0,0,"Community transmission"
"Barbados","Americas",3959,1377.64,30,10.44,2,46,16.01,1,0.35,0,"Community transmission"
"Comoros","Africa",3930,451.93,8,0.92,0,146,16.79,0,0,0,"Community transmission"
"Viet Nam","Western Pacific",3836,3.94,684,0.7,96,35,0.04,0,0,0,"Clusters of cases"
"Eritrea","Africa",3822,107.77,80,2.26,0,12,0.34,0,0,0,"Community transmission"
"Guinea-Bissau","Africa",3745,190.29,6,0.3,2,67,3.4,0,0,0,"Community transmission"
"United States Virgin Islands","Americas",3261,3122.82,51,48.84,5,27,25.86,0,0,0,"Community transmission"
"Jersey","Europe",3236,3001.97,2,1.86,0,69,64.01,0,0,0,"Community transmission"
"Liechtenstein","Europe",3073,7930.94,14,36.13,0,57,147.11,0,0,0,"Sporadic cases"
"Monaco","Europe",2490,6344.92,13,33.13,0,32,81.54,0,0,0,"Sporadic cases"
"Bermuda","Americas",2462,3953.56,30,48.17,1,32,51.39,2,3.21,1,"Community transmission"
"Turks and Caicos Islands","Americas",2404,6209,2,5.17,0,17,43.91,0,0,0,"Clusters of cases"
"Sao Tome and Principe","Africa",2324,1060.42,7,3.19,4,35,15.97,0,0,0,"Community transmission"
"New Zealand","Western Pacific",2289,47.47,5,0.1,0,26,0.54,0,0,0,"Sporadic cases"
"Sint Maarten","Americas",2272,5298.26,22,51.3,4,27,62.96,0,0,0,"Community transmission"
"Liberia","Africa",2128,42.07,15,0.3,3,85,1.68,0,0,0,"Community transmission"
"Saint Vincent and the Grenadines","Americas",1932,1741.48,37,33.35,4,12,10.82,0,0,0,"Community transmission"
"Saint Martin","Americas",1777,4596.6,0,0,0,14,36.21,0,0,0,"Community transmission"
"Isle of Man","Europe",1590,1869.88,0,0,0,29,34.1,0,0,0,"No cases"
"Bonaire","Americas",1564,7477.89,17,81.28,7,17,81.28,1,4.78,0,"Community transmission"
"Lao People's Democratic Republic","Western Pacific",1498,20.59,293,4.03,16,2,0.03,2,0.03,1,"Sporadic cases"
"Mauritius","Africa",1288,101.28,47,3.7,0,17,1.34,0,0,0,"Clusters of cases"
"Bhutan","South-East Asia",1276,165.37,86,11.15,13,1,0.13,0,0,0,"Clusters of cases"
"Antigua and Barbuda","Americas",1240,1266.22,4,4.08,0,32,32.68,0,0,0,"Clusters of cases"
"Saint Barthélemy","Americas",994,10055.64,0,0,0,1,10.12,0,0,0,"Clusters of cases"
"Guernsey","Europe",822,1275.05,0,0,0,14,21.72,0,0,0,"Community transmission"
"Other","Other",746,NA,0,NA,0,13,NA,0,NA,0,"Not applicable"
"Faroe Islands","Europe",669,1369.08,1,2.05,0,1,2.05,0,0,0,"Sporadic cases"
"Cayman Islands","Americas",561,853.62,16,24.35,1,2,3.04,0,0,0,"Sporadic cases"
"United Republic of Tanzania","Africa",509,0.85,0,0,0,21,0.04,0,0,0,"Pending"
"Wallis and Futuna","Western Pacific",454,4036.99,0,0,0,7,62.24,0,0,0,"Sporadic cases"
"British Virgin Islands","Americas",248,820.19,32,105.83,29,1,3.31,0,0,0,"Clusters of cases"
"Brunei Darussalam","Western Pacific",232,53.03,2,0.46,0,3,0.69,0,0,0,"Clusters of cases"
"Dominica","Americas",178,247.25,4,5.56,0,0,0,0,0,0,"Clusters of cases"
"Northern Mariana Islands (Commonwealth of the)","Western Pacific",172,298.83,3,5.21,2,2,3.47,0,0,0,"Pending"
"Fiji","Western Pacific",166,18.52,30,3.35,1,4,0.45,1,0.11,0,"Sporadic cases"
"Grenada","Americas",161,143.08,0,0,0,1,0.89,0,0,0,"Sporadic cases"
"New Caledonia","Western Pacific",124,43.43,0,0,0,0,0,0,0,0,"Sporadic cases"
"Anguilla","Americas",109,726.57,14,93.32,0,0,0,0,0,0,"Clusters of cases"
"Falkland Islands (Malvinas)","Americas",63,1808.79,0,0,0,0,0,0,0,0,"Sporadic cases"
"Saint Kitts and Nevis","Americas",45,84.6,0,0,0,0,0,0,0,0,"Sporadic cases"
"Greenland","Europe",31,54.6,0,0,0,0,0,0,0,0,"No cases"
"Holy See","Europe",26,3213.84,0,0,0,0,0,0,0,0,"Sporadic cases"
"Saint Pierre and Miquelon","Americas",25,431.41,0,0,0,0,0,0,0,0,"Sporadic cases"
"Montserrat","Americas",20,400.08,0,0,0,1,20,0,0,0,"No cases"
"Sint Eustatius","Americas",20,637.15,0,0,0,0,0,0,0,0,"No cases"
"Solomon Islands","Western Pacific",20,2.91,0,0,0,0,0,0,0,0,"No cases"
"Saba","Americas",7,362.13,0,0,0,0,0,0,0,0,"Sporadic cases"
"Marshall Islands","Western Pacific",4,6.76,0,0,0,0,0,0,0,0,"No cases"
"Vanuatu","Western Pacific",3,0.98,0,0,0,0,0,0,0,0,"No cases"
"Samoa","Western Pacific",1,0.5,0,0,0,0,0,0,0,0,"No cases"
"American Samoa","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Cook Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Democratic People's Republic of Korea","South-East Asia",0,0,0,0,0,0,0,0,0,0,"No cases"
"Kiribati","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Micronesia (Federated States of)","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Nauru","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Niue","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Palau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Pitcairn Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Saint Helena","Africa",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tokelau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tonga","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"Turkmenistan","Europe",0,0,0,0,0,0,0,0,0,0,"No cases"
"Tuvalu","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
