"","Id","contry","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","CritcalCase","TotalCase1M","DeathsCase1M","TotalTests","test1Mpop","Population","Continent","Caseevery","Deathevery","Testevery","newCase1M","deathsCase1M","ActiveCas1M"
"1","1","USA","33260249","28481","592165","606","25952403","43719","6715681","9406","99993","1780","450981324","1355816","332627330","North America","10","562","1","86","2","20190"
"2","2","India","20638281","362738","225831","3448","16919612","318909","3492838","8944","14833","162","293310779","210811","1391345879","Asia","67","6161","5","261","2","2510"
"3","3","Brazil","14791434","","408829","","13336476","","1046129","8318","69176","1912","46439030","217184","213823632","South America","14","523","5","",NA,"4892"
"4","4","France","5680378","24371","105387","247","4717330","60601","857661","5504","86863","1612","77243683","1181195","65394549","Europe","12","621","1","373","4","13115"
"5","5","Turkey","4929118","28997","41527","336","4554037","38218","333554","3452","57923","488","48229733","566759","85097446","Asia","17","2049","2","341","4","3920"
"6","6","Russia","4839514","7770","111535","337","4457044","6755","270935","2300","33150","764","130200000","891861","145986929","Europe","30","1309","1","53","2","1856"
"7","7","UK","4423796","1946","127543","4","4234772","3022","61481","185","64880","1871","159657232","2341545","68184563","Europe","15","535","0","29","0.06","902"
"8","8","Italy","4059821","9116","121738","305","3524194","18477","413889","2423","67230","2016","59552161","986171","60387240","Europe","15","496","1","151","5","6854"
"9","9","Spain","3544945","4515","78399","106","3222697","","243849","2292","75795","1676","47213067","1009474","46769962","Europe","13","597","1","97","2","5214"
"10","10","Germany","3448182","12305","84285","265","3061500","20800","302397","5049","41046","1003","55490413","660534","84008377","Europe","24","997","2","146","3","3600"
"11","11","Argentina","3021179","","64792","","2698072","","258315","5426","66338","1423","11329752","248773","45542532","South America","15","703","4","",NA,"5672"
"12","12","Colombia","2905254","","75164","","2721317","","108773","6006","56593","1464","14999981","292192","51336116","South America","18","683","3","",NA,"2119"
"13","13","Poland","2808052","2296","68133","28","2536931","7087","202988","2609","74264","1802","14490193","383218","37811840","Europe","13","555","3","61","0.7","5368"
