"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Global","Global",159949065,2048.97129958072,5276947,67.59847550474,734567,3322439,42.5609374809891,89170,1.14228095540048,13359,"Not applicable"
"United States of America","Americas",32461049,9806.88,293079,88.54,36412,577510,174.47,4523,1.37,696,"Community transmission"
"India","South-East Asia",23703665,1717.65,2626255,190.31,362727,258317,18.72,28149,2.04,4120,"Clusters of cases"
"Brazil","Americas",15282705,7189.85,425817,200.33,72715,425540,200.2,13952,6.56,2311,"Community transmission"
"France","Europe",5706758,8774.31,116342,178.88,18323,106151,163.21,1510,2.32,202,"Community transmission"
"Turkey","Europe",5059433,5998.92,130315,154.51,14497,43589,51.68,2062,2.44,278,"Community transmission"
"Russian Federation","Europe",4896842,3355.51,49353,33.82,8115,113976,78.1,2081,1.43,329,"Clusters of cases"
"The United Kingdom","Europe",4439695,6539.93,15895,23.41,2474,127629,188,86,0.13,20,"Community transmission"
"Italy","Europe",4123230,6913.36,63409,106.32,6943,123282,206.71,1544,2.59,251,"Clusters of cases"
"Spain","Europe",3586333,7576.88,37028,78.23,2768,79100,167.12,251,0.53,7,"Community transmission"
"Germany","Europe",3548285,4266.47,96735,116.31,14909,85380,102.66,1504,1.81,268,"Community transmission"
"Argentina","Americas",3191097,7060.61,143680,317.91,25976,68311,151.14,3109,6.88,490,"Community transmission"
"Colombia","Americas",3031726,5958.24,111921,219.96,16425,78771,154.81,3144,6.18,429,"Community transmission"
"Poland","Europe",2842339,7488.09,30388,80.06,4159,70679,186.2,2197,5.79,343,"Community transmission"
"Iran (Islamic Republic of)","Eastern Mediterranean",2707761,3223.8,116152,138.29,16409,75934,90.41,2366,2.82,366,"Community transmission"
"Mexico","Americas",2368393,1836.92,15429,11.97,1897,219323,170.11,1583,1.23,234,"Community transmission"
"Ukraine","Europe",2129073,4868.26,38087,87.09,4538,46987,107.44,1910,4.37,356,"Community transmission"
