"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"20","Czechia","Europe",1636836,15306.2,14059,131.47,2217,29421,275.12,346,3.24,56,"Community transmission"
"21","South Africa","Africa",1586148,2674.39,8948,15.09,1187,54511,91.91,274,0.46,59,"Community transmission"
"22","Netherlands","Europe",1516802,8713.45,49646,285.2,9263,17189,98.74,127,0.73,17,"Community transmission"
"23","Canada","Americas",1243242,3294.04,55324,146.58,9062,24342,64.5,318,0.84,42,"Community transmission"
"24","Chile","Americas",1219064,6377.12,39292,205.54,3249,26696,139.65,676,3.54,37,"Community transmission"
"25","Iraq","Eastern Mediterranean",1086141,2700.33,41131,102.26,6143,15608,38.8,260,0.65,42,"Community transmission"
"26","Philippines","Western Pacific",1067892,974.52,54292,49.55,5682,17622,16.08,706,0.64,97,"Community transmission"
"27","Romania","Europe",1058337,5475.43,10817,55.96,682,28380,146.83,869,4.5,98,"Community transmission"
"28","Belgium","Europe",996896,8651.78,15629,135.64,2,24322,211.08,215,1.87,3,"Community transmission"
"29","Sweden","Europe",973604,9427.21,23451,227.07,0,14048,136.02,9,0.09,0,"Community transmission"
"30","Israel","Europe",838664,9689.33,471,5.44,88,6369,73.58,15,0.17,3,"Community transmission"
"31","Pakistan","Eastern Mediterranean",837523,379.15,32584,14.75,3377,18310,8.29,981,0.44,161,"Community transmission"
"32","Portugal","Europe",837457,8133.88,2819,27.38,180,16977,164.89,12,0.12,0,"Clusters of cases"
"33","Hungary","Europe",784837,8033.52,12130,124.16,726,28045,287.07,1061,10.86,137,"Community transmission"
"34","Bangladesh","South-East Asia",765596,464.87,13937,8.46,1914,11705,7.11,477,0.29,61,"Community transmission"
"35","Jordan","Eastern Mediterranean",715703,7014.54,9348,91.62,1530,8955,87.77,248,2.43,30,"Community transmission"
"36","Serbia","Europe",693169,10007.2,11515,166.24,1249,6432,92.86,175,2.53,23,"Community transmission"
"37","Switzerland","Europe",660916,7636.57,9040,104.45,4,9987,115.4,32,0.37,0,"Community transmission"
"38","Austria","Europe",619234,6956.85,12344,138.68,888,10014,112.5,160,1.8,25,"Community transmission"
"39","Japan","Western Pacific",612360,484.17,36797,29.09,4734,10470,8.28,415,0.33,50,"Clusters of cases"
"40","Lebanon","Eastern Mediterranean",529205,7753.41,6442,94.38,748,7368,107.95,171,2.51,23,"Community transmission"
"41","United Arab Emirates","Eastern Mediterranean",527266,5331.09,12675,128.15,1699,1598,16.16,20,0.2,2,"Clusters of cases"
"42","Morocco","Eastern Mediterranean",512285,1387.91,2313,6.27,373,9038,24.49,33,0.09,6,"Community transmission"
"43","Saudi Arabia","Eastern Mediterranean",421300,1210.15,7081,20.34,999,7006,20.12,84,0.24,14,"Community transmission"
"44","Malaysia","Western Pacific",420632,1299.61,22181,68.53,3120,1574,4.86,112,0.35,23,"Community transmission"
"45","Bulgaria","Europe",405825,5837.96,6566,94.45,631,16548,238.05,447,6.43,56,"Clusters of cases"
"46","Ecuador","Americas",391242,2217.54,15913,90.19,3196,18863,106.91,474,2.69,98,"Community transmission"
"47","Slovakia","Europe",383609,7028.54,3111,57,381,11855,217.21,283,5.19,48,"Clusters of cases"
"48","Kazakhstan","Europe",381078,2029.53,14369,76.53,0,4542,24.19,197,1.05,0,"Clusters of cases"
"49","Panama","Americas",365299,8466.25,2134,49.46,195,6244,144.71,32,0.74,6,"Community transmission"
"50","Belarus","Europe",361897,3829.87,8051,85.2,834,2572,27.22,70,0.74,10,"Community transmission"
"51","Nepal","South-East Asia",351005,1204.68,43080,147.85,7587,3417,11.73,223,0.77,55,"Clusters of cases"
"52","Greece","Europe",348568,3252,14132,131.85,2146,10587,98.77,500,4.66,134,"Community transmission"
"53","Croatia","Europe",336918,8302.23,12085,297.79,1396,7264,179,307,7.56,46,"Community transmission"
"54","occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",327762,6424.92,5455,106.93,718,3564,69.86,95,1.86,13,"Community transmission"
"55","Azerbaijan","Europe",321380,3169.69,7568,74.64,0,4561,44.98,159,1.57,0,"Clusters of cases"
"56","Tunisia","Eastern Mediterranean",314152,2658.11,10568,89.42,1405,11016,93.21,572,4.84,101,"Community transmission"
"57","Georgia","Europe",313742,7864.83,7892,197.84,788,4183,104.86,123,3.08,20,"Community transmission"
"58","Bolivia (Plurinational State of)","Americas",308984,2646.99,10206,87.43,1423,13035,111.67,174,1.49,14,"Community transmission"
"59","Paraguay","Americas",284453,3988.1,15100,211.71,1910,6653,93.28,651,9.13,81,"Community transmission"
"60","Kuwait","Eastern Mediterranean",279085,6535.07,9404,220.2,1253,1601,37.49,66,1.55,11,"Community transmission"
"61","Dominican Republic","Americas",268070,2471.17,2589,23.87,389,3504,32.3,42,0.39,5,"Community transmission"
"62","Ethiopia","Africa",259354,225.6,5310,4.62,541,3772,3.28,167,0.15,15,"Community transmission"
"63","Costa Rica","Americas",256676,5038.67,15436,303.02,1855,3290,64.58,122,2.39,24,"Community transmission"
"64","Denmark","Europe",253673,4356.57,5347,91.83,761,2490,42.76,13,0.22,0,"Community transmission"
"65","Lithuania","Europe",251450,8999.35,8524,305.07,1113,3976,142.3,99,3.54,20,"Community transmission"
"66","Republic of Moldova","Europe",251378,6231.54,1993,49.41,43,5850,145.02,105,2.6,12,"Community transmission"
"67","Ireland","Europe",250290,5041.66,3221,64.88,452,4906,98.82,32,0.64,0,"Community transmission"
"68","Slovenia","Europe",241883,11540.98,4662,222.44,209,4569,218,25,1.19,2,"Clusters of cases"
"69","Egypt","Eastern Mediterranean",231803,226.52,7286,7.12,1090,13591,13.28,423,0.41,60,"Clusters of cases"
"70","Guatemala","Americas",230095,1284.33,7070,39.46,1224,7606,42.45,153,0.85,28,"Community transmission"
"71","Armenia","Europe",217407,7336.82,3343,112.82,399,4165,140.56,107,3.61,16,"Community transmission"
"72","Honduras","Americas",214475,2165.41,7155,72.24,505,5367,54.19,174,1.76,33,"Community transmission"
"73","Qatar","Eastern Mediterranean",208232,7227.64,4633,160.81,640,483,16.76,42,1.46,3,"Community transmission"
"74","Uruguay","Americas",204120,5876.1,16771,482.8,1628,2796,80.49,405,11.66,72,"Community transmission"
"75","Venezuela (Bolivarian Republic of)","Americas",200931,706.61,8433,29.66,864,2189,7.7,124,0.44,17,"Community transmission"
"76","Bosnia and Herzegovina","Europe",199183,6071.14,3212,97.9,244,8653,263.75,303,9.24,59,"Community transmission"
"77","Oman","Eastern Mediterranean",197802,3873.44,6404,125.41,902,2062,40.38,70,1.37,9,"Community transmission"
"78","Bahrain","Eastern Mediterranean",181880,10688.92,8332,489.66,1418,662,38.91,36,2.12,5,"Community transmission"
"79","Libya","Eastern Mediterranean",178672,2600.27,2418,35.19,337,3049,44.37,39,0.57,2,"Community transmission"
"80","Nigeria","Africa",165233,80.16,321,0.16,34,2063,1,1,0,0,"Community transmission"
"81","Kenya","Africa",160904,299.24,3412,6.35,345,2805,5.22,140,0.26,24,"Community transmission"
"82","North Macedonia","Europe",152747,7331.69,2075,99.6,62,4961,238.12,247,11.86,25,"Community transmission"
"83","Myanmar","South-East Asia",142858,262.56,80,0.15,16,3209,5.9,1,0,0,"Clusters of cases"
"84","Puerto Rico","Americas",133507,4666.69,3470,121.29,460,2323,81.2,44,1.54,8,"Community transmission"
"85","Albania","Europe",131276,4561.68,670,23.28,38,2399,83.36,20,0.69,2,"Clusters of cases"
"86","Republic of Korea","Western Pacific",124945,243.7,4278,8.34,676,1847,3.6,26,0.05,7,"Clusters of cases"
"87","Estonia","Europe",123344,9281.13,2508,188.72,401,1177,88.56,29,2.18,5,"Clusters of cases"
"88","Algeria","Africa",122999,280.49,1655,3.77,282,3289,7.5,64,0.15,9,"Community transmission"
"89","Latvia","Europe",119953,6287.92,4417,231.54,203,2154,112.91,48,2.52,10,"Community transmission"
"90","Sri Lanka","South-East Asia",115590,539.81,12103,56.52,1914,709,3.31,62,0.29,13,"Clusters of cases"
"91","Norway","Europe",113468,2113.95,2857,53.23,928,757,14.1,20,0.37,1,"Clusters of cases"
"92","Cuba","Americas",110644,976.85,7120,62.86,1019,686,6.06,82,0.72,11,"Community transmission"
"93","Kosovo[1]","Europe",105593,5880.44,1440,80.19,101,2177,121.24,47,2.62,4,"Community transmission"
"94","China","Western Pacific",103713,7.05,184,0.01,19,4858,0.33,1,0,0,"Clusters of cases"
"95","Montenegro","Europe",97613,15541.94,538,85.66,0,1503,239.31,25,3.98,0,"Clusters of cases"
"96","Kyrgyzstan","Europe",96561,1480.05,2284,35.01,224,1630,24.98,41,0.63,8,"Clusters of cases"
"97","Ghana","Africa",92740,298.46,276,0.89,57,780,2.51,1,0,1,"Community transmission"
"98","Uzbekistan","Europe",92320,275.84,2690,8.04,314,655,1.96,9,0.03,2,"Clusters of cases"
"99","Zambia","Africa",91804,499.37,386,2.1,82,1254,6.82,5,0.03,1,"Community transmission"
"100","Finland","Europe",87345,1580.82,1184,21.43,0,915,16.56,7,0.13,0,"Community transmission"
"101","Thailand","South-East Asia",74900,107.31,13201,18.91,2112,318,0.46,140,0.2,15,"Clusters of cases"
"102","Cameroon","Africa",70607,265.98,4609,17.36,0,1064,4.01,73,0.27,0,"Community transmission"
"103","Mozambique","Africa",70031,224.06,269,0.86,31,817,2.61,3,0.01,2,"Community transmission"
"104","El Salvador","Americas",69727,1075,805,12.41,262,2137,32.95,26,0.4,3,"Community transmission"
"105","Luxembourg","Europe",67465,10775.3,1091,174.25,0,800,127.77,9,1.44,0,"Community transmission"
"106","Cyprus","Europe",66911,7534.98,3951,444.93,481,321,36.15,20,2.25,7,"Clusters of cases"
"107","Singapore","Western Pacific",61252,1046.98,189,3.23,17,31,0.53,1,0.02,0,"Sporadic cases"
"108","Afghanistan","Eastern Mediterranean",60797,156.18,1427,3.67,234,2654,6.82,43,0.11,6,"Community transmission"
"109","Namibia","Africa",49203,1936.44,1192,46.91,52,663,26.09,29,1.14,4,"Community transmission"
"110","Botswana","Africa",47851,2034.8,1251,53.2,0,724,30.79,22,0.94,0,"Community transmission"
"111","Côte d’Ivoire","Africa",46173,175.04,288,1.09,19,291,1.1,6,0.02,4,"Community transmission"
"112","Jamaica","Americas",46087,1556.38,875,29.55,48,793,26.78,26,0.88,3,"Community transmission"
"113","Uganda","Africa",42032,91.89,295,0.64,59,342,0.75,1,0,0,"Community transmission"
"114","Senegal","Africa",40492,241.83,299,1.79,28,1111,6.64,5,0.03,0,"Community transmission"
"115","Mongolia","Western Pacific",40396,1232.23,7959,242.78,1015,126,3.84,38,1.16,7,"Clusters of cases"
"116","Zimbabwe","Africa",38327,257.87,163,1.1,34,1574,10.59,9,0.06,1,"Community transmission"
"117","Madagascar","Africa",37989,137.19,1799,6.5,238,682,2.46,68,0.25,5,"Community transmission"
"118","Malawi","Africa",34123,178.37,92,0.48,24,1149,6.01,2,0.01,1,"Community transmission"
"119","Sudan","Eastern Mediterranean",34082,77.73,138,0.31,0,2365,5.39,16,0.04,0,"Clusters of cases"
"120","Maldives","South-East Asia",31931,5907.2,3343,618.45,601,74,13.69,3,0.55,0,"Clusters of cases"
"121","Malta","Europe",30354,5898.97,165,32.07,35,416,80.85,3,0.58,0,"Clusters of cases"
"122","Democratic Republic of the Congo","Africa",30071,33.58,370,0.41,66,770,0.86,10,0.01,2,"Community transmission"
"123","Australia","Western Pacific",29852,117.07,127,0.5,11,910,3.57,0,0,0,"Clusters of cases"
"124","Angola","Africa",27284,83.02,1342,4.08,151,609,1.85,22,0.07,6,"Community transmission"
"125","Rwanda","Africa",25351,195.73,537,4.15,40,337,2.6,6,0.05,0,"Community transmission"
"126","Cabo Verde","Africa",24742,4450.1,1970,354.32,194,228,41.01,17,3.06,2,"Community transmission"
"127","Gabon","Africa",23201,1042.4,633,28.44,0,140,6.29,2,0.09,0,"Community transmission"
"128","Syrian Arab Republic","Eastern Mediterranean",23051,131.72,662,3.78,74,1617,9.24,58,0.33,7,"Community transmission"
"129","Guinea","Africa",22368,170.32,322,2.45,35,146,1.11,5,0.04,0,"Community transmission"
"130","Réunion","Africa",21451,2395.92,1070,119.51,1070,150,16.75,2,0.22,2,"Community transmission"
"131","Mayotte","Africa",20094,7365.43,39,14.3,0,170,62.31,0,0,0,"Community transmission"
"132","French Guiana","Americas",19882,6656.58,878,293.96,185,104,34.82,4,1.34,0,"Community transmission"
"133","French Polynesia","Western Pacific",18771,6682.26,27,9.61,6,141,50.19,0,0,0,"Sporadic cases"
"134","Mauritania","Africa",18503,397.94,189,4.06,27,455,9.79,0,0,0,"Community transmission"
"135","Eswatini","Africa",18461,1591.24,13,1.12,1,671,57.84,0,0,0,"Community transmission"
"136","Cambodia","Western Pacific",16299,97.49,4538,27.14,0,107,0.64,19,0.11,0,"Sporadic cases"
"137","Guadeloupe","Americas",14634,3657.37,864,215.93,0,228,56.98,17,4.25,0,"Community transmission"
"138","Somalia","Eastern Mediterranean",14121,88.85,206,1.3,206,721,4.54,8,0.05,8,"Community transmission"
"139","Mali","Africa",13969,68.98,247,1.22,32,492,2.43,16,0.08,1,"Community transmission"
"140","Tajikistan","Europe",13714,143.79,0,0,0,91,0.95,0,0,0,"Pending"
"141","Guyana","Americas",13564,1724.49,810,102.98,46,303,38.52,16,2.03,4,"Community transmission"
"142","Burkina Faso","Africa",13339,63.81,76,0.36,15,161,0.77,5,0.02,4,"Community transmission"
"143","Andorra","Europe",13295,17207.01,212,274.38,13,127,164.37,3,3.88,0,"Community transmission"
"144","Haiti","Americas",13149,115.32,132,1.16,14,260,2.28,6,0.05,3,"Community transmission"
"145","Togo","Africa",13037,157.48,153,1.85,27,123,1.49,1,0.01,0,"Community transmission"
"146","Belize","Americas",12674,3187.4,50,12.57,6,323,81.23,1,0.25,0,"Community transmission"
"147","Curaçao","Americas",12213,7442.73,84,51.19,3,111,67.64,6,3.66,0,"Community transmission"
"148","Trinidad and Tobago","Americas",11471,819.66,1675,119.69,158,179,12.79,20,1.43,5,"Community transmission"
"149","Papua New Guinea","Western Pacific",11407,127.49,410,4.58,134,121,1.35,14,0.16,0,"Community transmission"
"150","Djibouti","Eastern Mediterranean",11247,1138.36,316,31.98,46,147,14.88,5,0.51,1,"Community transmission"
"151","Martinique","Americas",11139,2968.3,648,172.68,0,79,21.05,9,2.4,0,"Community transmission"
"152","Congo","Africa",11016,199.63,338,6.13,0,147,2.66,3,0.05,0,"Community transmission"
"153","Lesotho","Africa",10733,501.02,5,0.23,0,318,14.84,2,0.09,0,"Community transmission"
"154","Aruba","Americas",10679,10002.25,124,116.14,9,100,93.66,2,1.87,0,"Community transmission"
"155","South Sudan","Africa",10613,94.81,60,0.54,11,115,1.03,1,0.01,0,"Community transmission"
"156","Bahamas","Americas",10576,2689.42,293,74.51,0,210,53.4,12,3.05,1,"Clusters of cases"
"157","Suriname","Americas",10543,1797.21,462,78.75,54,207,35.29,6,1.02,0,"Clusters of cases"
"158","Benin","Africa",7884,65.03,63,0.52,0,100,0.82,1,0.01,0,"Community transmission"
"159","Guam","Western Pacific",7784,4612.06,63,37.33,14,137,81.17,1,0.59,1,"Clusters of cases"
"160","Equatorial Guinea","Africa",7694,548.4,135,9.62,0,112,7.98,5,0.36,0,"Community transmission"
"161","Central African Republic","Africa",6521,135.02,162,3.35,0,91,1.88,4,0.08,0,"Community transmission"
"162","Iceland","Europe",6483,1780.39,54,14.83,11,29,7.96,0,0,0,"Community transmission"
"163","Yemen","Eastern Mediterranean",6394,21.44,170,0.57,27,1241,4.16,33,0.11,1,"Community transmission"
"164","Seychelles","Africa",6373,6480.12,951,966.98,164,28,28.47,1,1.02,0,"Community transmission"
"165","Gambia","Africa",5914,244.72,32,1.32,13,175,7.24,1,0.04,0,"Community transmission"
"166","Nicaragua","Americas",5575,84.16,77,1.16,77,183,2.76,1,0.02,1,"Community transmission"
"167","Niger","Africa",5286,21.84,82,0.34,25,192,0.79,1,0,1,"Community transmission"
"168","San Marino","Europe",5071,14941.95,13,38.31,4,90,265.19,0,0,0,"Community transmission"
"169","Chad","Africa",4828,29.39,49,0.3,0,170,1.03,0,0,0,"Community transmission"
"170","Saint Lucia","Americas",4573,2490.37,71,38.67,13,74,40.3,1,0.54,0,"Community transmission"
"171","Gibraltar","Europe",4283,12712.59,0,0,0,94,279.01,0,0,0,"Clusters of cases"
"172","Burundi","Africa",4069,34.22,128,1.08,17,6,0.05,0,0,0,"Community transmission"
"173","Sierra Leone","Africa",4068,51,22,0.28,6,79,0.99,0,0,0,"Community transmission"
"174","Comoros","Africa",3916,450.32,83,9.54,1,146,16.79,0,0,0,"Community transmission"
"175","Barbados","Americas",3881,1350.5,53,18.44,15,44,15.31,0,0,0,"Community transmission"
"176","Guinea-Bissau","Africa",3737,189.89,11,0.56,1,67,3.4,0,0,0,"Community transmission"
"177","Eritrea","Africa",3681,103.79,41,1.16,8,12,0.34,2,0.06,0,"Community transmission"
"178","Jersey","Europe",3234,3000.11,1,0.93,0,69,64.01,0,0,0,"Community transmission"
"179","United States Virgin Islands","Americas",3152,3018.43,59,56.5,10,27,25.86,0,0,0,"Community transmission"
"180","Liechtenstein","Europe",3036,7835.45,44,113.56,0,56,144.53,0,0,0,"Sporadic cases"
"181","Viet Nam","Western Pacific",2996,3.08,139,0.14,11,35,0.04,0,0,0,"Clusters of cases"
"182","Timor-Leste","South-East Asia",2653,201.22,605,45.89,129,4,0.3,1,0.08,0,"Clusters of cases"
"183","Monaco","Europe",2465,6281.21,26,66.25,8,32,81.54,0,0,0,"Sporadic cases"
"184","Bermuda","Americas",2422,3889.33,65,104.38,29,30,48.17,6,9.63,1,"Community transmission"
"185","Turks and Caicos Islands","Americas",2393,6180.59,14,36.16,0,17,43.91,0,0,0,"Clusters of cases"
"186","Sao Tome and Principe","Africa",2311,1054.49,13,5.93,1,35,15.97,0,0,0,"Community transmission"
"187","New Zealand","Western Pacific",2273,47.14,19,0.39,6,26,0.54,0,0,0,"Clusters of cases"
"188","Sint Maarten","Americas",2240,5223.64,20,46.64,10,27,62.96,0,0,0,"Community transmission"
"189","Liberia","Africa",2110,41.72,12,0.24,0,85,1.68,0,0,0,"Community transmission"
"190","Saint Vincent and the Grenadines","Americas",1882,1696.41,38,34.25,0,11,9.92,0,0,0,"Community transmission"
"191","Saint Martin","Americas",1749,4524.17,21,54.32,0,14,36.21,1,2.59,0,"Community transmission"
"192","Isle of Man","Europe",1590,1869.88,4,4.7,3,29,34.1,0,0,0,"No cases"
"193","Bonaire","Americas",1534,7334.45,6,28.69,1,16,76.5,1,4.78,0,"Community transmission"
"194","Mauritius","Africa",1241,97.58,35,2.75,0,17,1.34,1,0.08,0,"Clusters of cases"
"195","Antigua and Barbuda","Americas",1232,1258.05,0,0,0,32,32.68,0,0,0,"Clusters of cases"
"196","Bhutan","South-East Asia",1135,147.1,82,10.63,16,1,0.13,0,0,0,"Sporadic cases"
"197","Lao People's Democratic Republic","Western Pacific",1026,14.1,515,7.08,60,0,0,0,0,0,"Sporadic cases"
"198","Saint Barthélemy","Americas",988,9994.94,12,121.4,0,1,10.12,0,0,0,"Clusters of cases"
"199","Guernsey","Europe",822,1275.05,0,0,0,14,21.72,0,0,0,"Community transmission"
"200","Other","Other",746,NA,0,NA,0,13,NA,0,NA,0,"Not applicable"
"201","Faroe Islands","Europe",664,1358.85,1,2.05,0,1,2.05,0,0,0,"Sporadic cases"
"202","Cayman Islands","Americas",545,829.28,4,6.09,2,2,3.04,0,0,0,"Sporadic cases"
"203","United Republic of Tanzania","Africa",509,0.85,0,0,0,21,0.04,0,0,0,"Pending"
"204","Wallis and Futuna","Western Pacific",453,4028.1,1,8.89,0,7,62.24,2,17.78,0,"Sporadic cases"
"205","Brunei Darussalam","Western Pacific",228,52.12,5,1.14,1,3,0.69,0,0,0,"Sporadic cases"
"206","British Virgin Islands","Americas",216,714.36,22,72.76,22,1,3.31,0,0,0,"Clusters of cases"
"207","Dominica","Americas",174,241.7,1,1.39,0,0,0,0,0,0,"Clusters of cases"
"208","Northern Mariana Islands (Commonwealth of the)","Western Pacific",168,291.88,4,6.95,0,2,3.47,0,0,0,"Pending"
"209","Grenada","Americas",161,143.08,1,0.89,0,1,0.89,0,0,0,"Sporadic cases"
"210","New Caledonia","Western Pacific",124,43.43,0,0,0,0,0,0,0,0,"Sporadic cases"
"211","Fiji","Western Pacific",121,13.5,12,1.34,0,2,0.22,0,0,0,"Sporadic cases"
"212","Anguilla","Americas",95,633.25,11,73.32,0,0,0,0,0,0,"Clusters of cases"
"213","Falkland Islands (Malvinas)","Americas",63,1808.79,0,0,0,0,0,0,0,0,"Sporadic cases"
"214","Saint Kitts and Nevis","Americas",45,84.6,1,1.88,0,0,0,0,0,0,"No cases"
"215","Greenland","Europe",31,54.6,0,0,0,0,0,0,0,0,"No cases"
"216","Holy See","Europe",26,3213.84,0,0,0,0,0,0,0,0,"Sporadic cases"
"217","Saint Pierre and Miquelon","Americas",25,431.41,0,0,0,0,0,0,0,0,"Sporadic cases"
"218","Montserrat","Americas",20,400.08,0,0,0,1,20,0,0,0,"No cases"
"219","Sint Eustatius","Americas",20,637.15,0,0,0,0,0,0,0,0,"No cases"
"220","Solomon Islands","Western Pacific",20,2.91,0,0,0,0,0,0,0,0,"No cases"
"221","Saba","Americas",7,362.13,1,51.73,0,0,0,0,0,0,"No cases"
"222","Marshall Islands","Western Pacific",4,6.76,0,0,0,0,0,0,0,0,"No cases"
"223","Vanuatu","Western Pacific",3,0.98,0,0,0,0,0,0,0,0,"No cases"
"224","Samoa","Western Pacific",1,0.5,0,0,0,0,0,0,0,0,"No cases"
"225","American Samoa","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"226","Cook Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"227","Democratic People's Republic of Korea","South-East Asia",0,0,0,0,0,0,0,0,0,0,"No cases"
"228","Kiribati","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"229","Micronesia (Federated States of)","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"230","Nauru","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"231","Niue","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"232","Palau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"233","Pitcairn Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"234","Saint Helena","Africa",0,0,0,0,0,0,0,0,0,0,"No cases"
"235","Tokelau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"236","Tonga","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"237","Turkmenistan","Europe",0,0,0,0,0,0,0,0,0,0,"No cases"
"238","Tuvalu","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
