"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"1","Global","",156496592,2004.74460722977,5481839,70.2231724825791,817345,3264143,41.8141570551057,89833,1.15077408395751,13426,""
"2","United States of America","Americas",32257416,9745.36,308655,93.25,46599,574518,173.57,4796,1.45,796,"Community transmission"
"3","India","South-East Asia",21892676,1586.42,2727707,197.66,401078,238270,17.27,26417,1.91,4187,"Clusters of cases"
"4","Brazil","Americas",15003563,7058.53,412885,194.24,73380,416949,196.16,15763,7.42,2550,"Community transmission"
"5","France","Europe",5655548,8695.58,125728,193.31,17804,105339,161.96,1509,2.32,206,"Community transmission"
"6","Turkey","Europe",4998089,5926.18,177498,210.46,20107,42465,50.35,2334,2.77,278,"Community transmission"
"7","Russian Federation","Europe",4871843,3338.38,57285,39.25,8329,112992,77.43,2472,1.69,370,"Clusters of cases"
"8","The United Kingdom","Europe",4431047,6527.19,14420,21.24,2490,127598,187.96,81,0.12,15,"Community transmission"
"9","Italy","Europe",4092747,6862.25,70094,117.53,10549,122470,205.34,1663,2.79,207,"Clusters of cases"
"10","Spain","Europe",3559222,7519.6,32061,67.74,0,78726,166.33,211,0.45,0,"Community transmission"
"11","Germany","Europe",3507673,4217.64,107141,128.83,15685,84648,101.78,1566,1.88,238,"Community transmission"
"12","Argentina","Americas",3095582,6849.27,140639,311.18,24086,66263,146.61,2755,6.1,398,"Community transmission"
"13","Colombia","Americas",2951101,5799.79,109167,214.55,16490,76414,150.18,3184,6.26,399,"Community transmission"
"14","Poland","Europe",2829196,7453.46,30579,80.56,4771,69886,184.11,1962,5.17,441,"Community transmission"
"15","Iran (Islamic Republic of)","Eastern Mediterranean",2627094,3127.76,128017,152.41,17076,74241,88.39,2483,2.96,335,"Community transmission"
"16","Mexico","Americas",2358831,1829.5,17897,13.88,2846,218173,169.21,1726,1.34,166,"Community transmission"
"17","Ukraine","Europe",2114138,4834.11,36052,82.44,8710,46200,105.64,1764,4.03,370,"Community transmission"
"18","Peru","Americas",1832671,5558.29,40673,123.36,8214,63223,191.75,2122,6.44,247,"Community transmission"
"19","Indonesia","South-East Asia",1703632,622.85,35264,12.89,6327,46663,17.06,1142,0.42,167,"Community transmission"
"20","Czechia","Europe",1644335,15376.33,11403,106.63,1639,29647,277.23,331,3.1,39,"Community transmission"
"21","South Africa","Africa",1592626,2685.32,11416,19.25,2256,54687,92.21,337,0.57,67,"Community transmission"
"22","Netherlands","Europe",1546070,8881.59,49932,286.84,7575,17290,99.32,143,0.82,22,"Community transmission"
"23","Canada","Americas",1265320,3352.54,54237,143.7,7992,24489,64.89,320,0.85,39,"Community transmission"
"24","Chile","Americas",1235778,6464.56,37533,196.34,6530,27004,141.26,651,3.41,109,"Community transmission"
"25","Iraq","Eastern Mediterranean",1103950,2744.61,38751,96.34,5763,15702,39.04,237,0.59,29,"Community transmission"
"26","Philippines","Western Pacific",1087885,992.77,50458,46.05,7733,18099,16.52,865,0.79,108,"Community transmission"
"27","Romania","Europe",1063949,5504.46,8684,44.93,1422,28799,148.99,690,3.57,89,"Community transmission"
"28","Belgium","Europe",1010987,8774.07,15651,135.83,2,24483,212.48,223,1.94,3,"Community transmission"
"29","Sweden","Europe",1007792,9758.25,34230,331.44,5712,14173,137.23,21,0.2,0,"Community transmission"
"30","Pakistan","Eastern Mediterranean",850131,384.86,29308,13.27,4298,18677,8.46,866,0.39,140,"Community transmission"
"31","Israel","Europe",838790,9690.79,351,4.06,0,6371,73.61,7,0.08,0,"Community transmission"
"32","Portugal","Europe",838475,8143.77,1982,19.25,0,16988,165,14,0.14,0,"Clusters of cases"
"33","Hungary","Europe",789188,8078.06,7889,80.75,0,28403,290.73,702,7.19,0,"Community transmission"
"34","Bangladesh","South-East Asia",770842,468.06,11710,7.11,1682,11833,7.19,383,0.23,37,"Community transmission"
"35","Jordan","Eastern Mediterranean",718632,7043.25,7259,71.14,702,9047,88.67,211,2.07,33,"Community transmission"
"36","Serbia","Europe",698518,10084.42,8961,129.37,1277,6519,94.11,157,2.27,20,"Community transmission"
"37","Switzerland","Europe",667557,7713.3,8286,95.74,1,10057,116.2,34,0.39,0,"Community transmission"
"38","Japan","Western Pacific",626522,495.37,34920,27.61,5528,10702,8.46,473,0.37,113,"Clusters of cases"
"39","Austria","Europe",624816,7019.57,9857,110.74,1383,10096,113.42,134,1.51,23,"Community transmission"
"40","United Arab Emirates","Eastern Mediterranean",532710,5386.13,12474,126.12,1766,1607,16.25,20,0.2,3,"Clusters of cases"
"41","Lebanon","Eastern Mediterranean",531834,7791.93,5256,77.01,600,7436,108.95,158,2.31,21,"Community transmission"
"42","Morocco","Eastern Mediterranean",513314,1390.7,2065,5.59,298,9057,24.54,34,0.09,8,"Community transmission"
"43","Malaysia","Western Pacific",432425,1336.05,23712,73.26,4498,1632,5.04,126,0.39,22,"Community transmission"
"44","Saudi Arabia","Eastern Mediterranean",424445,1219.18,7082,20.34,1039,7045,20.24,88,0.25,13,"Community transmission"
