"Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"Global","Global",157289118,2014.89698310125,5444758,69.748159360372,786943,3277272,41.9823414967728,89748,1.14968522132199,12994,"Not applicable"
"United States of America","Americas",32300609,9758.41,298281,90.11,43193,575322,173.81,4785,1.45,804,"Community transmission"
"India","South-East Asia",22296414,1615.68,2738957,198.47,403738,242362,17.56,26820,1.94,4092,"Clusters of cases"
"Brazil","Americas",15082449,7095.64,423438,199.21,78886,419114,197.17,15333,7.21,2165,"Community transmission"
"France","Europe",5676293,8727.47,122487,188.33,20745,105544,162.28,1550,2.38,205,"Community transmission"
"Turkey","Europe",5016141,5947.59,166733,197.69,18052,42746,50.68,2242,2.66,281,"Community transmission"
"Russian Federation","Europe",4880262,3344.15,57007,39.06,8419,113326,77.66,2464,1.69,334,"Clusters of cases"
"The United Kingdom","Europe",4433094,6530.2,14560,21.45,2047,127603,187.97,79,0.12,5,"Community transmission"
"Italy","Europe",4102921,6879.31,67304,112.85,10174,122694,205.72,1661,2.78,224,"Clusters of cases"
"Spain","Europe",3559222,7519.6,23271,49.16,0,78726,166.33,159,0.34,0,"Community transmission"
"Germany","Europe",3520329,4232.86,103507,124.46,12656,84775,101.93,1583,1.9,127,"Community transmission"
"Argentina","Americas",3118134,6899.17,140771,311.47,22552,66872,147.96,3007,6.65,609,"Community transmission"
"Colombia","Americas",2968626,5834.23,108902,214.02,17525,76867,151.07,3147,6.18,453,"Community transmission"
"Poland","Europe",2833052,7463.62,29819,78.56,3856,70012,184.45,1944,5.12,126,"Community transmission"
"Iran (Islamic Republic of)","Eastern Mediterranean",2640670,3143.92,124513,148.24,13576,74524,88.73,2434,2.9,283,"Community transmission"
"Mexico","Americas",2361874,1831.87,17119,13.28,3043,218657,169.59,1750,1.36,484,"Community transmission"
"Ukraine","Europe",2119510,4846.39,36330,83.07,5372,46393,106.08,1797,4.11,193,"Community transmission"
"Peru","Americas",1839465,5578.89,40020,121.38,6794,63519,192.65,2042,6.19,296,"Community transmission"
"Indonesia","South-East Asia",1709762,625.09,36882,13.48,6130,46842,17.13,1190,0.44,179,"Community transmission"
"Czechia","Europe",1645061,15383.12,10947,102.37,726,29667,277.42,324,3.03,20,"Community transmission"
"South Africa","Africa",1594817,2689.01,11975,20.19,2191,54724,92.27,318,0.54,37,"Community transmission"
"Netherlands","Europe",1553469,8924.09,51545,296.11,7521,17319,99.49,151,0.87,29,"Community transmission"
"Canada","Americas",1273169,3373.33,53744,142.4,7849,24529,64.99,310,0.82,40,"Community transmission"
"Chile","Americas",1235778,6464.56,31023,162.29,0,27021,141.35,564,2.95,17,"Community transmission"
"Iraq","Eastern Mediterranean",1108558,2756.06,38192,94.95,4608,15741,39.13,243,0.6,39,"Community transmission"
"Philippines","Western Pacific",1094849,999.12,48212,44,6979,18269,16.67,915,0.83,170,"Community transmission"
"Romania","Europe",1065254,5511.22,8682,44.92,1305,28903,149.53,709,3.67,104,"Community transmission"
"Belgium","Europe",1014351,8803.27,17662,153.28,2,24511,212.72,223,1.94,8,"Community transmission"
"Sweden","Europe",1007792,9758.25,28799,278.86,0,14173,137.23,15,0.15,0,"Community transmission"
"Pakistan","Eastern Mediterranean",854240,386.72,28721,13,4109,18797,8.51,840,0.38,120,"Community transmission"
"Portugal","Europe",839258,8151.37,2311,22.45,406,16991,165.03,15,0.15,2,"Clusters of cases"
"Israel","Europe",838887,9691.91,369,4.26,97,6376,73.66,11,0.13,5,"Community transmission"
"Hungary","Europe",791709,8103.86,8817,90.25,1145,28602,292.77,800,8.19,98,"Community transmission"
"Bangladesh","South-East Asia",772127,468.84,11543,7.01,1285,11878,7.21,368,0.22,45,"Community transmission"
"Jordan","Eastern Mediterranean",719233,7049.14,7156,70.14,601,9076,88.95,205,2.01,29,"Community transmission"
"Serbia","Europe",699574,10099.66,8643,124.78,1056,6539,94.4,153,2.21,20,"Community transmission"
"Switzerland","Europe",667557,7713.3,7130,82.38,0,10057,116.2,24,0.28,0,"Community transmission"
"Japan","Western Pacific",633027,500.51,35802,28.31,6505,10823,8.56,527,0.42,121,"Clusters of cases"
"Austria","Europe",626067,7033.62,9453,106.2,1251,10110,113.58,132,1.48,14,"Community transmission"
"United Arab Emirates","Eastern Mediterranean",534445,5403.67,12497,126.35,1735,1610,16.28,19,0.19,3,"Clusters of cases"
"Lebanon","Eastern Mediterranean",532269,7798.3,4761,69.75,435,7460,109.3,158,2.31,24,"Community transmission"
"Morocco","Eastern Mediterranean",513628,1391.55,2066,5.6,314,9064,24.56,38,0.1,7,"Community transmission"
"Malaysia","Western Pacific",436944,1350.01,25350,78.32,4519,1657,5.12,136,0.42,25,"Community transmission"
"Saudi Arabia","Eastern Mediterranean",425442,1222.05,7031,20.2,997,7059,20.28,91,0.26,14,"Community transmission"
"Bulgaria","Europe",409961,5897.46,5115,73.58,466,16902,243.14,458,6.59,16,"Clusters of cases"
"Ecuador","Americas",398921,2261.07,14332,81.23,2033,19137,108.47,413,2.34,76,"Community transmission"
"Kazakhstan","Europe",393758,2097.06,12680,67.53,0,4542,24.19,0,0,0,"Clusters of cases"
"Nepal","South-East Asia",385890,1324.41,56997,195.62,8287,3632,12.47,334,1.15,53,"Clusters of cases"
"Slovakia","Europe",385475,7062.73,2377,43.55,80,12019,220.21,253,4.64,29,"Clusters of cases"
"Belarus","Europe",367674,3891.01,7692,81.4,1369,2622,27.75,70,0.74,10,"Community transmission"
"Panama","Americas",366762,8500.16,2186,50.66,398,6258,145.04,26,0.6,3,"Community transmission"
"Greece","Europe",360577,3364.04,14155,132.06,2461,10978,102.42,525,4.9,68,"Community transmission"
"Croatia","Europe",344494,8488.91,9321,229.69,665,7469,184.05,287,7.07,45,"Community transmission"
"occupied Palestinian territory, including east Jerusalem","Eastern Mediterranean",330278,6474.24,4311,84.51,491,3619,70.94,94,1.84,13,"Community transmission"
"Azerbaijan","Europe",326056,3215.8,5734,56.55,649,4666,46.02,128,1.26,16,"Clusters of cases"
"Georgia","Europe",321919,8069.81,9474,237.49,1089,4281,107.32,130,3.26,18,"Community transmission"
"Tunisia","Eastern Mediterranean",319512,2703.46,8778,74.27,1276,11350,96.03,542,4.59,73,"Community transmission"
"Bolivia (Plurinational State of)","Americas",316153,2708.41,10559,90.46,1963,13182,112.93,207,1.77,31,"Community transmission"
"Paraguay","Americas",294233,4125.22,15156,212.49,2693,6974,97.78,589,8.26,91,"Community transmission"
"Kuwait","Eastern Mediterranean",284076,6651.94,8806,206.2,1095,1635,38.29,66,1.55,7,"Community transmission"
"Dominican Republic","Americas",270600,2494.49,3739,34.47,642,3523,32.48,36,0.33,6,"Community transmission"
"Costa Rica","Americas",265486,5211.62,14495,284.54,2392,3365,66.06,134,2.63,24,"Community transmission"
"Ethiopia","Africa",262217,228.09,4155,3.61,637,3871,3.37,162,0.14,31,"Community transmission"
"Denmark","Europe",258182,4434.01,6137,105.4,677,2497,42.88,8,0.14,2,"Community transmission"
"Lithuania","Europe",257827,9227.58,8147,291.58,921,4034,144.38,84,3.01,10,"Community transmission"
"Republic of Moldova","Europe",252604,6261.93,1444,35.8,191,5943,147.32,117,2.9,14,"Community transmission"
"Ireland","Europe",251474,5065.51,2037,41.03,0,4921,99.12,15,0.3,0,"Community transmission"
"Slovenia","Europe",245793,11727.54,4412,210.51,632,4606,219.77,13,0.62,0,"Clusters of cases"
"Egypt","Eastern Mediterranean",236272,230.88,7688,7.51,1132,13845,13.53,443,0.43,66,"Clusters of cases"
"Guatemala","Americas",233696,1304.43,5219,29.13,1257,7695,42.95,152,0.85,18,"Community transmission"
"Armenia","Europe",219270,7399.69,2407,81.23,178,4234,142.88,95,3.21,9,"Community transmission"
"Honduras","Americas",218330,2204.33,5997,60.55,735,5585,56.39,304,3.07,83,"Community transmission"
"Uruguay","Americas",216146,6222.3,17718,510.06,2697,3032,87.28,416,11.98,60,"Community transmission"
"Qatar","Eastern Mediterranean",210603,7309.93,4301,149.29,533,502,17.42,37,1.28,6,"Community transmission"
"Venezuela (Bolivarian Republic of)","Americas",205181,721.56,7498,26.37,1124,2263,7.96,127,0.45,19,"Community transmission"
"Bosnia and Herzegovina","Europe",200989,6126.19,2157,65.75,296,8811,268.56,232,7.07,21,"Community transmission"
"Oman","Eastern Mediterranean",199344,3903.63,6091,119.28,0,2083,40.79,73,1.43,0,"Community transmission"
"Bahrain","Eastern Mediterranean",187905,11043,9908,582.28,1502,678,39.85,30,1.76,4,"Community transmission"
"Libya","Eastern Mediterranean",179697,2615.19,2189,31.86,0,3063,44.58,34,0.49,0,"Community transmission"
"Nigeria","Africa",165382,80.23,229,0.11,30,2065,1,2,0,0,"Community transmission"
"Kenya","Africa",163238,303.58,3185,5.92,572,2883,5.36,139,0.26,18,"Community transmission"
"North Macedonia","Europe",153891,7386.6,1310,62.88,197,5079,243.79,188,9.02,12,"Clusters of cases"
"Myanmar","South-East Asia",142947,262.72,116,0.21,13,3210,5.9,1,0,0,"Clusters of cases"
"Puerto Rico","Americas",134888,4714.96,2932,102.49,520,2367,82.74,57,1.99,12,"Community transmission"
"Albania","Europe",131666,4575.23,481,16.71,89,2411,83.78,15,0.52,3,"Clusters of cases"
"Republic of Korea","Western Pacific",127309,248.31,4069,7.94,564,1874,3.66,41,0.08,9,"Clusters of cases"
"Estonia","Europe",125126,9415.22,2441,183.68,225,1201,90.37,33,2.48,6,"Clusters of cases"
"Algeria","Africa",123900,282.55,1589,3.62,208,3321,7.57,60,0.14,6,"Community transmission"
"Latvia","Europe",123331,6464.99,3961,207.63,786,2208,115.74,69,3.62,11,"Community transmission"
"Sri Lanka","South-East Asia",123234,575.5,13372,62.45,1896,786,3.67,99,0.46,41,"Clusters of cases"
"Norway","Europe",115410,2150.13,2870,53.47,0,767,14.29,11,0.2,0,"Clusters of cases"
"Cuba","Americas",114912,1014.53,7290,64.36,1036,722,6.37,68,0.6,9,"Community transmission"
"Kosovo[1]","Europe",106302,5919.92,970,54.02,153,2193,122.13,25,1.39,1,"Community transmission"
"China","Western Pacific",103796,7.05,147,0.01,22,4858,0.33,0,0,0,"Clusters of cases"
"Kyrgyzstan","Europe",98400,1508.23,2340,35.87,321,1655,25.37,36,0.55,6,"Clusters of cases"
"Montenegro","Europe",98231,15640.33,519,82.64,0,1534,244.24,28,4.46,0,"Clusters of cases"
"Uzbekistan","Europe",94397,282.04,2754,8.23,419,662,1.98,10,0.03,0,"Clusters of cases"
"Ghana","Africa",92856,298.83,255,0.82,0,783,2.52,4,0.01,0,"Community transmission"
"Zambia","Africa",92057,500.75,387,2.11,53,1257,6.84,6,0.03,1,"Community transmission"
"Finland","Europe",88332,1598.68,1236,22.37,0,922,16.69,8,0.14,0,"Community transmission"
"Thailand","South-East Asia",83375,119.45,14391,20.62,2101,399,0.57,154,0.22,17,"Clusters of cases"
"Cameroon","Africa",74733,281.52,4126,15.54,0,1144,4.31,80,0.3,0,"Community transmission"
"El Salvador","Americas",70255,1083.14,1057,16.3,0,2150,33.15,22,0.34,4,"Community transmission"
"Mozambique","Africa",70166,224.49,201,0.64,28,821,2.63,7,0.02,1,"Community transmission"
"Cyprus","Europe",69163,7788.58,2791,314.3,397,334,37.61,21,2.36,2,"Clusters of cases"
"Luxembourg","Europe",68291,10907.22,894,142.79,138,802,128.09,5,0.8,1,"Community transmission"
"Afghanistan","Eastern Mediterranean",61842,158.86,1720,4.42,87,2686,6.9,49,0.13,3,"Community transmission"
"Singapore","Western Pacific",61331,1048.33,152,2.6,20,31,0.53,0,0,0,"Sporadic cases"
"Namibia","Africa",49893,1963.59,1239,48.76,341,683,26.88,40,1.57,1,"Community transmission"
"Botswana","Africa",48417,2058.87,1483,63.06,0,734,31.21,22,0.94,0,"Community transmission"
"Jamaica","Americas",46588,1573.3,811,27.39,160,803,27.12,24,0.81,2,"Community transmission"
"Côte d’Ivoire","Africa",46344,175.69,230,0.87,0,291,1.1,5,0.02,0,"Community transmission"
"Mongolia","Western Pacific",44016,1342.65,6731,205.32,815,160,4.88,45,1.37,7,"Clusters of cases"
"Uganda","Africa",42308,92.49,401,0.88,84,346,0.76,3,0.01,0,"Community transmission"
"Senegal","Africa",40665,242.86,277,1.65,44,1117,6.67,8,0.05,1,"Community transmission"
"Madagascar","Africa",38874,140.38,1578,5.7,233,716,2.59,62,0.22,15,"Community transmission"
"Zimbabwe","Africa",38414,258.46,154,1.04,11,1576,10.6,8,0.05,0,"Community transmission"
"Maldives","South-East Asia",34724,6423.9,4487,830.09,590,83,15.35,10,1.85,1,"Clusters of cases"
"Sudan","Eastern Mediterranean",34461,78.59,407,0.93,0,2365,5.39,0,0,0,"Clusters of cases"
"Malawi","Africa",34166,178.6,71,0.37,8,1153,6.03,5,0.03,1,"Community transmission"
"Malta","Europe",30438,5915.3,131,25.46,6,417,81.04,2,0.39,0,"Clusters of cases"
"Democratic Republic of the Congo","Africa",30285,33.81,381,0.43,45,772,0.86,4,0,0,"Community transmission"
"Australia","Western Pacific",29906,117.28,94,0.37,9,910,3.57,0,0,0,"Clusters of cases"
"Angola","Africa",28477,86.65,1662,5.06,276,630,1.92,30,0.09,2,"Community transmission"
"Cabo Verde","Africa",26111,4696.33,1984,356.84,274,232,41.73,12,2.16,1,"Community transmission"
"Rwanda","Africa",25586,197.54,361,2.79,47,338,2.61,3,0.02,0,"Community transmission"
"Gabon","Africa",23432,1052.78,357,16.04,0,143,6.42,4,0.18,0,"Community transmission"
"Syrian Arab Republic","Eastern Mediterranean",23319,133.25,501,2.86,63,1648,9.42,50,0.29,9,"Community transmission"
"Guinea","Africa",22633,172.34,386,2.94,80,150,1.14,6,0.05,1,"Community transmission"
"Réunion","Africa",21451,2395.92,1070,119.51,0,150,16.75,2,0.22,0,"Community transmission"
"French Guiana","Americas",20366,6818.62,823,275.54,0,104,34.82,3,1,0,"Community transmission"
"Mayotte","Africa",20134,7380.09,40,14.66,0,170,62.31,0,0,0,"Community transmission"
"French Polynesia","Western Pacific",18790,6689.02,32,11.39,0,141,50.19,0,0,0,"Sporadic cases"
"Cambodia","Western Pacific",18717,111.95,4197,25.1,0,114,0.68,11,0.07,0,"Sporadic cases"
"Mauritania","Africa",18636,400.8,234,5.03,23,456,9.81,1,0.02,0,"Community transmission"
"Eswatini","Africa",18477,1592.62,19,1.64,3,671,57.84,0,0,0,"Community transmission"
"Guadeloupe","Americas",15429,3856.05,795,198.69,0,236,58.98,8,2,0,"Community transmission"
"Somalia","Eastern Mediterranean",14415,90.7,500,3.15,47,747,4.7,34,0.21,2,"Community transmission"
"Mali","Africa",14082,69.54,186,0.92,23,499,2.46,14,0.07,2,"Community transmission"
"Guyana","Americas",14037,1784.62,754,95.86,80,314,39.92,18,2.29,4,"Community transmission"
"Tajikistan","Europe",13714,143.79,0,0,0,91,0.95,0,0,0,"Pending"
"Andorra","Europe",13406,17350.68,174,225.2,16,127,164.37,2,2.59,0,"Community transmission"
"Burkina Faso","Africa",13377,63.99,58,0.28,24,162,0.77,5,0.02,0,"Community transmission"
"Haiti","Americas",13164,115.45,70,0.61,0,263,2.31,9,0.08,0,"Community transmission"
"Togo","Africa",13141,158.73,149,1.8,35,124,1.5,1,0.01,0,"Community transmission"
"Trinidad and Tobago","Americas",12720,908.9,1896,135.48,324,196,14.01,27,1.93,5,"Community transmission"
"Belize","Americas",12686,3190.42,18,4.53,4,323,81.23,0,0,0,"Community transmission"
"Curaçao","Americas",12222,7448.22,41,24.99,0,113,68.86,5,3.05,0,"Community transmission"
"Papua New Guinea","Western Pacific",11630,129.99,368,4.11,0,121,1.35,6,0.07,0,"Community transmission"
"Martinique","Americas",11490,3061.84,351,93.53,0,87,23.18,8,2.13,0,"Community transmission"
"Djibouti","Eastern Mediterranean",11335,1147.27,214,21.66,16,149,15.08,4,0.4,1,"Community transmission"
"Congo","Africa",11147,202.01,469,8.5,0,148,2.68,4,0.07,0,"Community transmission"
"Suriname","Americas",10933,1863.69,570,97.16,117,214,36.48,10,1.7,1,"Clusters of cases"
"Bahamas","Americas",10773,2739.52,320,81.37,0,212,53.91,13,3.31,0,"Clusters of cases"
"Lesotho","Africa",10773,502.88,42,1.96,12,319,14.89,3,0.14,0,"Community transmission"
"Aruba","Americas",10737,10056.57,129,120.82,0,100,93.66,2,1.87,0,"Community transmission"
"South Sudan","Africa",10637,95.03,54,0.48,0,116,1.04,1,0.01,0,"Community transmission"
