"","Name","Region","casesCumulative","cumulative100000p","reported7d","reported7d100000p","reported24h","deathsCumulative","deathsCumulative100000p","deathsreported7d","deathsreported7d100000p","deathsreported24h","transmisionType"
"89","Latvia","Europe",120736,6328.96,3637,190.65,358,2166,113.54,48,2.52,7,"Community transmission"
"90","Sri Lanka","South-East Asia",117529,548.86,12576,58.73,1939,720,3.36,59,0.28,11,"Clusters of cases"
"91","Norway","Europe",114434,2131.95,2749,51.21,484,767,14.29,14,0.26,10,"Clusters of cases"
"92","Cuba","Americas",111654,985.77,7142,63.06,1010,694,6.13,80,0.71,8,"Community transmission"
"93","Kosovo[1]","Europe",105821,5893.13,1147,63.88,153,2185,121.68,42,2.34,4,"Community transmission"
"94","China","Western Pacific",103731,7.05,169,0.01,18,4858,0.33,1,0,0,"Clusters of cases"
"95","Montenegro","Europe",97924,15591.45,539,85.82,0,1517,241.54,24,3.82,0,"Clusters of cases"
"96","Kyrgyzstan","Europe",97278,1491.04,2334,35.77,320,1640,25.14,42,0.64,3,"Clusters of cases"
"97","Uzbekistan","Europe",93176,278.39,2770,8.28,452,657,1.96,10,0.03,2,"Clusters of cases"
"98","Ghana","Africa",92828,298.74,315,1.01,88,783,2.52,4,0.01,3,"Community transmission"
"99","Zambia","Africa",91849,499.62,365,1.99,45,1255,6.83,6,0.03,1,"Community transmission"
"100","Finland","Europe",87798,1589.02,1393,25.21,269,918,16.61,7,0.13,2,"Community transmission"
"101","Thailand","South-East Asia",76811,110.04,13241,18.97,1911,336,0.48,148,0.21,18,"Clusters of cases"
"102","Cameroon","Africa",74733,281.52,8735,32.91,4126,1144,4.31,153,0.58,80,"Community transmission"
"103","Mozambique","Africa",70052,224.13,248,0.79,21,818,2.62,4,0.01,1,"Community transmission"
"104","El Salvador","Americas",69997,1079.17,1075,16.57,270,2141,33.01,24,0.37,4,"Community transmission"
"105","Cyprus","Europe",67982,7655.59,3417,384.8,562,327,36.82,21,2.36,1,"Clusters of cases"
"106","Luxembourg","Europe",67850,10836.79,1024,163.55,208,800,127.77,8,1.28,0,"Community transmission"
"107","Singapore","Western Pacific",61268,1047.26,182,3.11,16,31,0.53,1,0.02,0,"Sporadic cases"
"108","Afghanistan","Eastern Mediterranean",61162,157.11,1586,4.07,365,2664,6.84,46,0.12,10,"Community transmission"
"109","Namibia","Africa",49323,1941.16,1146,45.1,120,667,26.25,29,1.14,4,"Community transmission"
"110","Botswana","Africa",47851,2034.8,1251,53.2,0,724,30.79,22,0.94,0,"Community transmission"
"111","Côte d’Ivoire","Africa",46231,175.26,346,1.31,58,291,1.1,6,0.02,0,"Community transmission"
"112","Jamaica","Americas",46194,1559.99,902,30.46,107,794,26.81,24,0.81,1,"Community transmission"
"113","Uganda","Africa",42102,92.04,336,0.73,70,343,0.75,2,0,1,"Community transmission"
"114","Mongolia","Western Pacific",41524,1266.64,7916,241.47,1128,130,3.97,33,1.01,4,"Clusters of cases"
"115","Senegal","Africa",40544,242.14,295,1.76,52,1114,6.65,7,0.04,3,"Community transmission"
"116","Zimbabwe","Africa",38357,258.07,166,1.12,30,1574,10.59,9,0.06,0,"Community transmission"
"117","Madagascar","Africa",38116,137.65,1606,5.8,127,690,2.49,59,0.21,8,"Community transmission"
"118","Sudan","Eastern Mediterranean",34461,78.59,517,1.18,379,2365,5.39,16,0.04,0,"Clusters of cases"
"119","Malawi","Africa",34143,178.48,91,0.48,20,1151,6.02,4,0.02,2,"Community transmission"
"120","Maldives","South-East Asia",32665,6042.99,3613,668.4,734,74,13.69,2,0.37,0,"Clusters of cases"
"121","Malta","Europe",30411,5910.05,162,31.48,30,416,80.85,3,0.58,0,"Clusters of cases"
"122","Democratic Republic of the Congo","Africa",30130,33.64,362,0.4,59,770,0.86,7,0.01,0,"Community transmission"
"123","Australia","Western Pacific",29865,117.12,116,0.45,13,910,3.57,0,0,0,"Clusters of cases"
"124","Angola","Africa",27529,83.76,1361,4.14,245,618,1.88,27,0.08,9,"Community transmission"
"125","Rwanda","Africa",25421,196.27,533,4.12,70,338,2.61,6,0.05,1,"Community transmission"
"126","Cabo Verde","Africa",25159,4525.11,1978,355.76,417,229,41.19,16,2.88,1,"Community transmission"
"127","Gabon","Africa",23201,1042.4,633,28.44,0,140,6.29,2,0.09,0,"Community transmission"
"128","Syrian Arab Republic","Eastern Mediterranean",23121,132.12,608,3.47,70,1625,9.29,53,0.3,8,"Community transmission"
"129","Guinea","Africa",22468,171.08,381,2.9,100,148,1.13,7,0.05,2,"Community transmission"
"130","Réunion","Africa",21451,2395.92,1070,119.51,0,150,16.75,2,0.22,0,"Community transmission"
"131","Mayotte","Africa",20134,7380.09,79,28.96,40,170,62.31,0,0,0,"Community transmission"
"132","French Guiana","Americas",20078,6722.2,979,327.77,196,104,34.82,4,1.34,0,"Community transmission"
"133","French Polynesia","Western Pacific",18775,6683.68,29,10.32,4,141,50.19,0,0,0,"Sporadic cases"
"134","Mauritania","Africa",18542,398.78,196,4.22,39,456,9.81,1,0.02,1,"Community transmission"
"135","Eswatini","Africa",18467,1591.76,15,1.29,6,671,57.84,0,0,0,"Community transmission"
"136","Cambodia","Western Pacific",16971,101.51,4330,25.9,0,110,0.66,19,0.11,0,"Sporadic cases"
"137","Guadeloupe","Americas",14634,3657.37,864,215.93,0,228,56.98,17,4.25,0,"Community transmission"
"138","Somalia","Eastern Mediterranean",14368,90.4,453,2.85,247,745,4.69,32,0.2,24,"Community transmission"
"139","Mali","Africa",13998,69.12,218,1.08,29,493,2.43,16,0.08,1,"Community transmission"
"140","Tajikistan","Europe",13714,143.79,0,0,0,91,0.95,0,0,0,"Pending"
"141","Guyana","Americas",13656,1736.19,830,105.52,92,306,38.9,15,1.91,3,"Community transmission"
"142","Burkina Faso","Africa",13345,63.84,41,0.2,6,161,0.77,4,0.02,0,"Community transmission"
"143","Andorra","Europe",13340,17265.26,192,248.5,24,127,164.37,2,2.59,0,"Community transmission"
"144","Haiti","Americas",13164,115.45,108,0.95,15,263,2.31,9,0.08,3,"Community transmission"
"145","Togo","Africa",13068,157.85,170,2.05,31,123,1.49,1,0.01,0,"Community transmission"
"146","Belize","Americas",12675,3187.65,44,11.07,1,323,81.23,1,0.25,0,"Community transmission"
"147","Curaçao","Americas",12213,7442.73,67,40.83,0,111,67.64,4,2.44,0,"Community transmission"
"148","Trinidad and Tobago","Americas",11706,836.45,1759,125.69,235,185,13.22,24,1.71,6,"Community transmission"
"149","Papua New Guinea","Western Pacific",11407,127.49,410,4.58,0,121,1.35,14,0.16,0,"Community transmission"
"150","Djibouti","Eastern Mediterranean",11268,1140.49,282,28.54,21,147,14.88,5,0.51,0,"Community transmission"
"151","Martinique","Americas",11139,2968.3,648,172.68,0,79,21.05,9,2.4,0,"Community transmission"
"152","Congo","Africa",11016,199.63,338,6.13,0,147,2.66,3,0.05,0,"Community transmission"
"153","Lesotho","Africa",10749,501.76,19,0.89,16,319,14.89,3,0.14,1,"Community transmission"
"154","Aruba","Americas",10679,10002.25,109,102.09,0,100,93.66,2,1.87,0,"Community transmission"
"155","Suriname","Americas",10623,1810.85,466,79.44,80,212,36.14,11,1.88,5,"Clusters of cases"
"156","South Sudan","Africa",10613,94.81,60,0.54,0,115,1.03,1,0.01,0,"Community transmission"
"157","Bahamas","Americas",10576,2689.42,227,57.72,0,210,53.4,12,3.05,0,"Clusters of cases"
"158","Benin","Africa",7884,65.03,63,0.52,0,100,0.82,1,0.01,0,"Community transmission"
"159","Guam","Western Pacific",7795,4618.58,62,36.74,11,138,81.77,2,1.19,1,"Clusters of cases"
"160","Equatorial Guinea","Africa",7694,548.4,135,9.62,0,112,7.98,5,0.36,0,"Community transmission"
"161","Central African Republic","Africa",6674,138.18,263,5.45,153,93,1.93,5,0.1,2,"Community transmission"
"162","Iceland","Europe",6497,1784.23,41,11.26,6,29,7.96,0,0,0,"Community transmission"
"163","Yemen","Eastern Mediterranean",6418,21.52,151,0.51,24,1261,4.23,44,0.15,20,"Community transmission"
"164","Seychelles","Africa",6373,6480.12,873,887.67,0,28,28.47,1,1.02,0,"Community transmission"
"165","Gambia","Africa",5922,245.05,37,1.53,8,175,7.24,1,0.04,0,"Community transmission"
"166","Nicaragua","Americas",5575,84.16,77,1.16,0,183,2.76,1,0.02,0,"Community transmission"
"167","Niger","Africa",5309,21.93,85,0.35,23,192,0.79,1,0,0,"Community transmission"
"168","San Marino","Europe",5079,14965.53,19,55.98,3,90,265.19,0,0,0,"Community transmission"
"169","Chad","Africa",4847,29.51,58,0.35,19,170,1.03,0,0,0,"Community transmission"
"170","Saint Lucia","Americas",4585,2496.91,77,41.93,12,74,40.3,0,0,0,"Community transmission"
"171","Gibraltar","Europe",4286,12721.5,3,8.9,3,94,279.01,0,0,0,"Clusters of cases"
"172","Burundi","Africa",4093,34.42,108,0.91,24,6,0.05,0,0,0,"Community transmission"
"173","Sierra Leone","Africa",4068,51,19,0.24,0,79,0.99,0,0,0,"Community transmission"
"174","Comoros","Africa",3917,450.44,14,1.61,1,146,16.79,0,0,0,"Community transmission"
"175","Barbados","Americas",3884,1351.54,53,18.44,3,45,15.66,1,0.35,1,"Community transmission"
"176","Guinea-Bissau","Africa",3738,189.94,7,0.36,1,67,3.4,0,0,0,"Community transmission"
"177","Eritrea","Africa",3707,104.53,48,1.35,26,12,0.34,2,0.06,0,"Community transmission"
"178","Jersey","Europe",3234,3000.11,1,0.93,0,69,64.01,0,0,0,"Community transmission"
"179","United States Virgin Islands","Americas",3178,3043.33,80,76.61,26,27,25.86,0,0,0,"Community transmission"
"180","Liechtenstein","Europe",3048,7866.42,37,95.49,0,57,147.11,1,2.58,0,"Sporadic cases"
"181","Viet Nam","Western Pacific",3030,3.11,165,0.17,34,35,0.04,0,0,0,"Clusters of cases"
"182","Timor-Leste","South-East Asia",2786,211.31,662,50.21,133,4,0.3,1,0.08,0,"Clusters of cases"
"183","Monaco","Europe",2471,6296.5,24,61.16,3,32,81.54,0,0,0,"Sporadic cases"
"184","Bermuda","Americas",2427,3897.36,65,104.38,5,30,48.17,6,9.63,0,"Community transmission"
"185","Turks and Caicos Islands","Americas",2396,6188.34,12,30.99,3,17,43.91,0,0,0,"Clusters of cases"
"186","Sao Tome and Principe","Africa",2314,1055.85,13,5.93,3,35,15.97,0,0,0,"Community transmission"
"187","New Zealand","Western Pacific",2277,47.22,20,0.41,4,26,0.54,0,0,0,"Clusters of cases"
"188","Sint Maarten","Americas",2240,5223.64,20,46.64,0,27,62.96,0,0,0,"Community transmission"
"189","Liberia","Africa",2113,41.78,14,0.28,3,85,1.68,0,0,0,"Community transmission"
"190","Saint Vincent and the Grenadines","Americas",1882,1696.41,32,28.84,0,11,9.92,0,0,0,"Community transmission"
"191","Saint Martin","Americas",1749,4524.17,21,54.32,0,14,36.21,1,2.59,0,"Community transmission"
"192","Isle of Man","Europe",1590,1869.88,3,3.53,0,29,34.1,0,0,0,"No cases"
"193","Bonaire","Americas",1534,7334.45,4,19.13,0,16,76.5,1,4.78,0,"Community transmission"
"194","Mauritius","Africa",1241,97.58,35,2.75,0,17,1.34,1,0.08,0,"Clusters of cases"
"195","Antigua and Barbuda","Americas",1232,1258.05,0,0,0,32,32.68,0,0,0,"Clusters of cases"
"196","Bhutan","South-East Asia",1144,148.26,85,11.02,9,1,0.13,0,0,0,"Sporadic cases"
"197","Lao People's Democratic Republic","Western Pacific",1072,14.73,468,6.43,46,0,0,0,0,0,"Sporadic cases"
"198","Saint Barthélemy","Americas",988,9994.94,12,121.4,0,1,10.12,0,0,0,"Clusters of cases"
"199","Guernsey","Europe",822,1275.05,0,0,0,14,21.72,0,0,0,"Community transmission"
"200","Other","Other",746,NA,0,NA,0,13,NA,0,NA,0,"Not applicable"
"201","Faroe Islands","Europe",668,1367.03,5,10.23,0,1,2.05,0,0,0,"Sporadic cases"
"202","Cayman Islands","Americas",545,829.28,4,6.09,0,2,3.04,0,0,0,"Sporadic cases"
"203","United Republic of Tanzania","Africa",509,0.85,0,0,0,21,0.04,0,0,0,"Pending"
"204","Wallis and Futuna","Western Pacific",453,4028.1,1,8.89,0,7,62.24,2,17.78,0,"Sporadic cases"
"205","Brunei Darussalam","Western Pacific",228,52.12,4,0.91,0,3,0.69,0,0,0,"Sporadic cases"
"206","British Virgin Islands","Americas",216,714.36,22,72.76,0,1,3.31,0,0,0,"Clusters of cases"
"207","Dominica","Americas",174,241.7,1,1.39,0,0,0,0,0,0,"Clusters of cases"
"208","Northern Mariana Islands (Commonwealth of the)","Western Pacific",168,291.88,4,6.95,0,2,3.47,0,0,0,"Pending"
"209","Grenada","Americas",161,143.08,1,0.89,0,1,0.89,0,0,0,"Sporadic cases"
"210","Fiji","Western Pacific",125,13.94,14,1.56,4,2,0.22,0,0,0,"Sporadic cases"
"211","New Caledonia","Western Pacific",124,43.43,0,0,0,0,0,0,0,0,"Sporadic cases"
"212","Anguilla","Americas",95,633.25,8,53.33,0,0,0,0,0,0,"Clusters of cases"
"213","Falkland Islands (Malvinas)","Americas",63,1808.79,0,0,0,0,0,0,0,0,"Sporadic cases"
"214","Saint Kitts and Nevis","Americas",45,84.6,1,1.88,0,0,0,0,0,0,"No cases"
"215","Greenland","Europe",31,54.6,0,0,0,0,0,0,0,0,"No cases"
"216","Holy See","Europe",26,3213.84,0,0,0,0,0,0,0,0,"Sporadic cases"
"217","Saint Pierre and Miquelon","Americas",25,431.41,0,0,0,0,0,0,0,0,"Sporadic cases"
"218","Montserrat","Americas",20,400.08,0,0,0,1,20,0,0,0,"No cases"
"219","Sint Eustatius","Americas",20,637.15,0,0,0,0,0,0,0,0,"No cases"
"220","Solomon Islands","Western Pacific",20,2.91,0,0,0,0,0,0,0,0,"No cases"
"221","Saba","Americas",7,362.13,1,51.73,0,0,0,0,0,0,"No cases"
"222","Marshall Islands","Western Pacific",4,6.76,0,0,0,0,0,0,0,0,"No cases"
"223","Vanuatu","Western Pacific",3,0.98,0,0,0,0,0,0,0,0,"No cases"
"224","Samoa","Western Pacific",1,0.5,0,0,0,0,0,0,0,0,"No cases"
"225","American Samoa","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"226","Cook Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"227","Democratic People's Republic of Korea","South-East Asia",0,0,0,0,0,0,0,0,0,0,"No cases"
"228","Kiribati","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"229","Micronesia (Federated States of)","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"230","Nauru","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"231","Niue","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"232","Palau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"233","Pitcairn Islands","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"234","Saint Helena","Africa",0,0,0,0,0,0,0,0,0,0,"No cases"
"235","Tokelau","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"236","Tonga","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
"237","Turkmenistan","Europe",0,0,0,0,0,0,0,0,0,0,"No cases"
"238","Tuvalu","Western Pacific",0,0,0,0,0,0,0,0,0,0,"No cases"
